period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773265555.0162156,1773265585.0162156,16,14,0,0,0,0,0,16,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18398,0,0,0.0,100.0,0,0.0,0,0,0,0.6396833509206772,4.608237028121948,6,10
2,1773265585.0162156,1773265615.0162156,13,17,4,11,2,2,9,13,6,7,0.36666666666666664,11020.8,49.03333333333333,14.003858268260956,14.021425008773804,15.718932008743286,15.947420282363892,0.9841208365608056,26494,0,0,120.55194187164307,86.60533979203966,20992,0.0,0,0,0,0.05012679100036621,0.09911656379699707,0,13
3,1773265615.0162156,1773265645.0162156,8,22,14,35,22,22,13,8,8,0,1.1666666666666667,44097.0,186.56666666666666,0.6740576570684259,0.5833138227462769,1.4945515036582946,1.5736187362670897,0.850919651500484,29090,0,0,65.71784663200378,92.69801704088847,788480,77.53141143105248,0,0,0,0.05656928221384684,0.09997773170471191,0,8
4,1773265645.0162156,1773265675.0162156,23,8,2,7,2,2,5,23,20,3,0.23333333333333334,2832.0666666666666,22.866666666666667,0.2277287244796753,0.2277287244796753,0.26975303888320923,0.2734885334968567,0.9969856819894499,33038,1,0,13.411912202835083,98.55785890292096,1024,92.40904251734415,0,0,0,0.04266958886926824,0.09459233283996582,0,23
5,1773265675.0162156,1773265705.0162156,9,23,13,39,17,17,22,9,8,1,1.3,35569.53333333333,240.4,0.9394812303430894,0.6275882720947266,2.831753826141356,4.162973613739013,0.7663826212193952,38086,1,0,77.9990918636322,91.87509459753831,996608,68.68395898856369,0,0,0,0.04653718948364258,0.10023927688598633,4,5
6,1773265705.0162156,1773265735.0162156,19,15,13,21,14,14,7,19,17,2,0.7,38533.8,118.03333333333333,1.8655465630924,1.2873344421386719,4.870189428329467,5.833514165878296,0.9186329899191314,38752,2,0,127.7910749912262,87.47146323615429,376064,37.81511456358667,0,0,0,0.04536510282947171,0.10080695152282715,5,14
7,1773265735.0162156,1773265765.0162156,17,18,12,23,9,9,14,17,12,5,0.7666666666666667,27847.333333333332,133.86666666666667,3.9082080523173013,4.087110638618469,5.872534763813019,5.9436670327186585,0.9597577801625019,45224,1,0,143.0505566596985,86.3761374609811,134400,0.0,0,0,0,0.052255471547444664,0.09557723999023438,6,11
8,1773265765.0162156,1773265795.0162156,10,25,16,22,11,11,11,10,4,6,0.7333333333333333,40849.2,164.4,2.9916465431451797,3.131770610809326,5.231212377548218,6.3616586208343495,0.9968127906369194,47399,0,0,242.43105149269104,76.91132842926753,15616,0.2784485618273417,0,0,0,0.054337294896443684,0.09920597076416016,2,8
9,1773265795.0162156,1773265825.0162156,7,30,13,29,20,20,9,7,6,1,0.9666666666666667,42746.26666666667,264.5,0.8125864158977162,0.5253555774688721,2.1407356023788453,3.148420705795287,0.8533260087894526,51487,2,0,107.35789275169373,90.32811777011769,751872,72.91378613674279,0,0,0,0.05065766664651724,0.1001744270324707,2,5
10,1773265825.0162156,1773265855.0162156,13,25,11,15,10,10,5,13,11,2,0.5,25602.033333333333,107.43333333333334,1.907700538635254,1.962713360786438,3.281136882305145,3.391057469844818,0.718489496498833,54193,1,0,104.58221411705017,90.82612156867981,864512,36.40998204549153,0,0,0,0.047173204876127695,0.09216141700744629,3,10
11,1773265855.0162156,1773265885.0162156,17,21,7,13,4,4,9,17,13,4,0.43333333333333335,18047.666666666668,89.06666666666666,1.9108670439038957,1.8204543590545654,4.450027203559873,5.2007039499282826,0.592408655551614,58503,0,0,88.55788230895996,92.23176470974035,882432,36.30443186987014,0,0,0,0.4408243263469023,2.967254161834717,0,17
12,1773265885.0162156,1773265915.0162156,8,31,11,30,15,15,15,8,6,2,1.0,31838.9,199.36666666666667,1.1304349899291992,0.5050582885742188,2.655603885650633,3.684699535369872,0.830819760037536,60577,1,0,77.93318891525269,93.33904368245703,646144,62.318833669026695,0,0,0,0.05209378969101679,0.09908080101013184,1,7
13,1773265915.0162156,1773265945.0162156,18,23,6,11,6,6,5,18,15,3,0.36666666666666664,11775.0,51.36666666666667,1.1439557756696428,0.7440557479858398,2.674521708488464,2.877051405906677,0.7653671804170444,64146,2,0,51.12381887435913,95.84359196143421,331264,61.868140811011905,0,0,0,0.05198876063028971,0.1002202033996582,2,16
14,1773265945.0162156,1773265975.0162156,23,19,6,19,4,4,15,23,20,3,0.6333333333333333,13132.566666666668,118.86666666666666,2.580693483352661,1.2638523578643799,6.691823899745941,7.340725123882295,0.9419889502762431,65928,1,0,42.783538579940796,96.60448106508406,91392,13.976883888244629,0,0,0,0.05440840125083923,0.10017943382263184,3,20
15,1773265975.0162156,1773266005.0162156,30,14,0,9,0,0,9,30,16,14,0.3,0.0,29.233333333333334,0.0,0.0,0.0,0.0,0.0,68330,2,0,0.0,100.0,0,0.0,0,0,0,0.04818268120288849,0.08598756790161133,3,27
16,1773266005.0162156,1773266035.0162156,32,12,1,9,0,0,9,32,11,21,0.3,4026.6666666666665,21.3,13.08919382095337,13.08919382095337,13.08919382095337,13.08919382095337,0.9962904080551139,69077,0,0,19.822322607040405,98.49830889340603,1792,0.0,0,0,0,0.06312162225896661,0.09864616394042969,3,29
17,1773266035.0162156,1773266065.0162156,33,11,1,13,0,0,13,33,14,19,0.43333333333333335,4026.6666666666665,24.2,11.870815992355347,11.870815992355347,11.870815992355347,11.870815992355347,1.0,69306,0,0,20.863924264907837,98.41939967690092,0,0.0,0,0,0,0.04876777103969029,0.09694409370422363,6,27
18,1773266065.0162156,1773266095.0162156,30,14,6,23,3,3,20,30,17,13,0.7666666666666667,12904.633333333333,82.56666666666666,8.946530103683472,8.182053804397583,16.547988653182983,16.681432485580444,0.9677526045973209,69641,0,0,118.5197434425354,91.02123155738369,49920,0.0,0,0,0,0.052938079833984374,0.09844827651977539,7,23
19,1773266095.0162156,1773266125.0162156,32,12,5,14,3,3,11,32,13,19,0.4666666666666667,13479.933333333332,44.86666666666667,8.462700080871581,9.459600687026978,12.546049880981446,12.588846168518067,0.768999366687777,69851,0,0,106.03738069534302,91.96686509883764,373504,0.0,0,0,0,0.04219163954257965,0.08130574226379395,4,28
20,1773266125.0162156,1773266155.0162156,19,25,7,25,4,4,21,19,8,11,0.8333333333333334,16764.9,95.4,7.55915641784668,9.001291513442993,10.888537883758545,11.121909236907959,0.9919806517311609,70337,0,0,126.04713678359985,90.45097448609091,16128,0.0,0,0,0,0.048171281814575195,0.09298133850097656,1,18
21,1773266155.0162156,1773266185.0162156,28,16,6,17,6,6,11,28,20,8,0.5666666666666667,15515.266666666666,66.6,2.9004832903544107,2.5513943433761597,4.281186878681183,4.457978403568268,0.7314993122420907,72128,0,0,77.36841988563538,94.13875606927004,499712,3.317223654852978,0,0,0,0.05235473926250751,0.09734773635864258,1,27
22,1773266185.0162156,1773266215.0162156,10,35,13,37,14,14,23,10,5,5,1.2333333333333334,37788.96666666667,208.43333333333334,3.1649845918019612,3.2979493141174316,4.519217109680174,5.660197563171385,0.9219473624759968,72408,1,0,195.88173389434814,85.49024193375199,353792,0.0,0,0,0,0.05234745929115697,0.10057616233825684,0,10
23,1773266215.0162156,1773266245.0162156,18,25,9,14,9,9,5,18,13,5,0.4666666666666667,20406.466666666667,50.5,3.6046692530314126,4.317055940628052,7.4268187046051,8.85184266090393,0.9228033472803348,73960,0,0,151.30680203437805,88.27079053997069,188928,0.0,0,0,0,0.06496854623158772,0.09850144386291504,0,18
24,1773266245.0162156,1773266275.0162156,10,33,19,35,20,20,15,10,7,3,1.1666666666666667,46592.066666666666,270.8,1.0504326105117798,0.5860631465911865,3.29206714630127,3.7321589660644525,0.9596885020613835,75364,0,0,131.69580268859863,89.79102304739546,225280,64.98557964960735,0,0,0,0.058666229248046875,0.09941291809082031,3,7
25,1773266275.0162156,1773266305.0162156,7,37,18,23,16,16,7,7,4,3,0.7666666666666667,48450.5,157.7,2.9992071986198425,2.9075738191604614,5.8038046121597295,6.098570103645324,0.980704845814978,75541,1,0,318.68272280693054,75.85736948432344,112128,0.02642671267191569,0,0,0,0.05786941051483154,0.09267520904541016,0,7
26,1773266305.0162156,1773266335.0162156,25,20,1,7,1,1,6,25,24,1,0.23333333333333334,3323.766666666667,29.233333333333334,0.0,0.0,0.0,0.0,1.0,76911,1,0,9.680799722671509,99.28290372424655,0,100.0,0,0,0,0.04889666557312012,0.09869003295898438,8,17
27,1773266335.0162156,1773266365.0162156,23,23,2,9,0,0,9,23,7,16,0.3,3535.4333333333334,29.9,15.347575783729553,15.347575783729553,15.394489014148713,15.398659079074859,0.9933574879227053,77033,1,0,72.58118391036987,94.74049391953841,2816,0.0,0,0,0,0.03414389065333775,0.07052755355834961,1,22
28,1773266365.0162156,1773266395.0162156,24,21,3,21,3,3,18,24,19,5,0.7,5812.066666666667,67.36666666666666,1.6786859035491943,2.028193712234497,2.2025591850280763,2.2180583381652834,1.0,81113,0,0,22.1190345287323,98.36155299787168,0,44.043803215026855,0,0,0,0.04313879427702531,0.10003399848937988,8,16
29,1773266395.0162156,1773266425.0162156,27,18,2,6,1,1,5,27,8,19,0.2,5261.633333333333,7.566666666666666,2.7982171773910522,2.7982171773910522,5.316612637042999,5.540470011234284,1.0,83013,0,0,28.784435033798218,97.86781962712607,0,6.726094086964925,0,0,0,0.051965263154771596,0.10056686401367188,1,26
30,1773266425.0162156,1773266455.0162156,28,17,0,9,0,0,9,28,10,18,0.3,0.0,17.166666666666668,0.0,0.0,0.0,0.0,0.0,83182,0,0,0.0,100.0,0,0.0,0,0,0,0.053920960426330565,0.0999753475189209,2,26
31,1773266455.0162156,1773266485.0162156,29,16,3,16,2,2,14,29,15,14,0.5333333333333333,5867.766666666666,51.63333333333333,6.081964413324992,5.303082704544067,7.514194536209106,7.710737810134888,0.9770909090909091,86081,0,0,61.37644362449646,95.45359676855581,16128,0.0,0,0,0,0.04566171590019675,0.09632611274719238,4,25
32,1773266485.0162156,1773266515.0162156,29,16,6,15,4,4,11,29,11,18,0.5,14728.633333333333,35.53333333333333,3.6088229020436606,3.9214781522750854,5.432827889919281,5.5625696063041685,0.7759744964497899,86306,0,0,110.84581661224365,91.78919876946343,395776,0.0,0,0,0,0.04085105260213216,0.09202027320861816,5,24
33,1773266515.0162156,1773266545.0162156,17,28,9,25,4,4,21,17,9,8,0.8333333333333334,19783.233333333334,161.1,6.951821327209473,6.83953070640564,11.670678949356079,12.280444116592408,0.9928794907757039,84734,0,0,139.23458576202393,89.68632698059082,16896,0.0,0,0,0,0.5145416259765625,2.970566987991333,4,13
34,1773266545.0162156,1773266575.0162156,30,15,1,3,0,0,3,30,16,14,0.1,1437.8,6.133333333333334,5.250381231307983,5.250381231307983,5.250381231307983,5.250381231307983,0.9687964338781575,82688,0,0,32.35507917404175,97.6033274685895,5376,0.0,0,0,0,0.03995007276535034,0.09160184860229492,3,27
35,1773266575.0162156,1773266605.0162156,29,16,0,11,0,0,11,29,10,19,0.36666666666666664,0.0,28.033333333333335,0.0,0.0,0.0,0.0,0.0,81132,0,0,0.0,100.0,0,0.0,0,0,0,0.05426819324493408,0.09418749809265137,4,25
36,1773266605.0162156,1773266635.0162156,23,22,6,27,3,3,24,23,18,5,0.9,13557.533333333333,133.56666666666666,3.407250960667928,3.4780774116516113,6.704619407653809,7.30312614440918,0.9707178841309824,79484,0,0,43.95186114311218,96.7443065819917,47616,0.0,0,0,0,0.045039824077061245,0.09838390350341797,5,18
37,1773266635.0162156,1773266665.0162156,26,19,0,8,0,0,8,26,11,15,0.26666666666666666,0.0,24.533333333333335,0.0,0.0,0.0,0.0,0.0,78632,0,0,0.0,100.0,0,0.0,0,0,0,0.03948655995455655,0.08693814277648926,2,24
38,1773266665.0162156,1773266695.0162156,32,13,1,11,0,0,11,32,17,15,0.36666666666666664,2009.3,18.6,13.95015549659729,13.95015549659729,13.95015549659729,13.95015549659729,0.9893730074388948,78353,0,0,13.950846910476685,98.96660393255729,2560,0.0,0,0,0,0.04343316134284524,0.08941221237182617,9,23
39,1773266695.0162156,1773266725.0162156,30,15,1,10,0,0,10,30,9,21,0.3333333333333333,2029.7333333333333,26.0,12.694177389144897,12.694177389144897,12.694177389144897,12.694177389144897,0.9873817034700315,77811,0,0,40.45898962020874,97.00303780591047,3072,0.0,0,0,0,0.05614111158582899,0.09836435317993164,8,22
40,1773266725.0162156,1773266755.0162156,30,15,0,13,0,0,13,30,12,18,0.43333333333333335,0.0,21.5,0.0,0.0,0.0,0.0,0.0,75151,0,0,0.0,100.0,0,0.0,0,0,0,0.05078011751174927,0.09753203392028809,10,20
41,1773266755.0162156,1773266785.0162156,35,10,1,6,0,0,6,35,11,24,0.2,3041.1666666666665,17.1,22.79128360748291,22.79128360748291,22.79128360748291,22.79128360748291,0.9866666666666667,74185,0,0,41.40148091316223,96.93322363606207,4864,0.0,0,0,0,0.06037360971624201,0.0985252857208252,11,24
42,1773266785.0162156,1773266815.0162156,34,11,0,10,0,0,10,34,9,25,0.3333333333333333,0.0,13.6,0.0,0.0,0.0,0.0,0.0,74199,0,0,0.0,100.0,0,0.0,0,0,0,0.0606027709113227,0.09569954872131348,10,24
43,1773266815.0162156,1773266845.0162156,27,18,4,15,0,0,15,27,8,19,0.5,8819.233333333334,55.63333333333333,31.134295105934143,32.557592153549194,34.579748797416684,34.79091866970062,0.9973384950399226,74209,0,0,202.516743183136,84.99875976421215,2816,0.0,0,0,0,0.05254921317100525,0.09322667121887207,5,22
44,1773266845.0162156,1773266875.0162156,30,15,2,12,0,0,12,30,15,15,0.4,6314.433333333333,36.233333333333334,11.355871319770813,11.355871319770813,11.56503759622574,11.583630154132843,0.9989861439675566,74440,0,0,40.15852451324463,97.0252944805004,768,0.0,0,0,0,0.04151172637939453,0.08094477653503418,2,28
45,1773266875.0162156,1773266905.0162156,26,19,3,19,3,3,16,26,12,14,0.6333333333333333,6704.333333333333,40.7,9.318583647410074,9.314581394195557,9.627924990653991,9.65577775478363,0.9955442393380013,73574,0,0,55.69341564178467,95.87456180431224,3584,0.0,0,0,0,0.04899044036865234,0.09741759300231934,3,23
46,1773266905.0162156,1773266935.0162156,20,25,8,25,5,5,20,20,14,6,0.8333333333333334,18666.266666666666,111.66666666666667,3.1523404717445374,2.835387110710144,5.560253810882568,5.697688999176025,0.9986279442030642,71681,0,0,129.57125163078308,90.40212950883088,3072,0.0,0,0,0,0.05291857217487536,0.09995007514953613,4,16
47,1773266935.0162156,1773266965.0162156,4,41,17,38,18,18,20,4,4,0,1.2666666666666666,48691.5,279.9,1.8887515718286687,1.4447367191314697,4.536071443557739,7.097726593017575,0.9313609467455621,72154,0,0,125.59854817390442,90.69640383897004,400896,37.04161427237771,0,0,0,0.046302296898581764,0.099853515625,1,3
48,1773266965.0162156,1773266995.0162156,25,21,0,1,0,0,1,25,22,3,0.03333333333333333,0.0,4.6,0.0,0.0,0.0,0.0,0.0,72709,1,0,0.0,100.0,0,0.0,0,0,0,0.0605723424391313,0.09463334083557129,4,21
49,1773266995.0162156,1773267025.0162156,28,18,0,6,0,0,6,28,9,19,0.2,0.0,6.9,0.0,0.0,0.0,0.0,0.0,72785,0,0,0.0,100.0,0,0.0,0,0,0,0.05291777186923557,0.10759305953979492,3,25
50,1773267025.0162156,1773267055.0162156,10,36,9,29,7,7,22,10,4,6,0.9666666666666667,23992.8,144.46666666666667,5.275403618812561,6.011148810386658,9.778643906116484,10.362913572788239,0.9783846290695606,74950,0,0,152.1112825870514,88.97744329079337,62208,0.0,0,0,0,0.04900986498052424,0.09899377822875977,1,9
51,1773267055.0162156,1773267085.0162156,21,25,2,7,1,1,6,21,17,4,0.23333333333333334,6189.833333333333,27.8,1.8077725172042847,1.8077725172042847,2.785857307910919,2.8727981781959535,0.9820751465012065,73728,0,0,10.59517502784729,99.23223369363426,13312,39.740916093190506,0,0,0,0.04903729756673177,0.08358240127563477,3,18
52,1773267085.0162156,1773267115.0162156,33,15,0,6,0,0,6,33,18,15,0.2,0.0,12.866666666666667,0.0,0.0,0.0,0.0,0.0,75957,2,0,0.0,100.0,0,0.0,0,0,0,0.05553853511810303,0.1155707836151123,9,24
53,1773267115.0162156,1773267145.0162156,34,14,0,9,0,0,9,34,10,24,0.3,0.0,16.2,0.0,0.0,0.0,0.0,0.0,75216,0,0,0.0,100.0,0,0.0,0,0,0,0.053723356940529564,0.09701967239379883,9,25
54,1773267145.0162156,1773267175.0162156,36,12,1,9,0,0,9,36,11,25,0.3,3179.1,12.9,29.045762300491333,29.045762300491333,29.045762300491333,29.045762300491333,1.0,77306,0,0,29.046400785446167,97.98288883434402,0,0.0,0,0,0,0.04981509121981534,0.10013365745544434,10,26
55,1773267175.0162156,1773267205.0162156,34,14,0,14,0,0,14,34,12,22,0.4666666666666667,0.0,35.5,0.0,0.0,0.0,0.0,0.0,76544,0,0,0.0,100.0,0,0.0,0,0,0,0.04325751463572184,0.09972906112670898,10,24
56,1773267205.0162156,1773267235.0162156,36,12,0,10,0,0,10,36,12,24,0.3333333333333333,0.0,31.4,0.0,0.0,0.0,0.0,0.0,75859,0,0,0.0,100.0,0,0.0,0,0,0,0.05585350592931112,0.09911060333251953,14,22
57,1773267235.0162156,1773267265.0162156,38,10,0,11,0,0,11,38,13,25,0.36666666666666664,0.0,13.066666666666666,0.0,0.0,0.0,0.0,0.0,76711,0,0,0.0,100.0,0,0.0,0,0,0,0.04767913084763747,0.0937948226928711,13,25
58,1773267265.0162156,1773267295.0162156,35,13,0,10,0,0,10,35,7,28,0.3333333333333333,0.0,18.0,0.0,0.0,0.0,0.0,0.0,74334,0,0,0.0,100.0,0,0.0,0,0,0,0.05667424201965332,0.09921717643737793,8,27
59,1773267295.0162156,1773267325.0162156,38,10,1,10,0,0,10,38,13,25,0.3333333333333333,3105.9,13.8,29.624043226242065,29.624043226242065,29.624043226242065,29.624043226242065,0.9903780068728523,73145,0,0,30.433187007904053,97.88658423556222,3584,0.0,0,0,0,0.28717376635624814,1.88130784034729,12,26
60,1773267325.0162156,1773267355.0162156,39,9,1,14,0,0,14,39,15,24,0.4666666666666667,3105.9,17.433333333333334,35.52212429046631,35.52212429046631,35.52212429046631,35.52212429046631,1.0,73385,0,0,38.437424421310425,97.33073441518678,0,0.0,0,0,0,0.05397923787434896,0.10038900375366211,17,22
61,1773267355.0162156,1773267385.0162156,38,10,0,8,0,0,8,38,7,31,0.26666666666666666,0.0,14.933333333333334,0.0,0.0,0.0,0.0,0.0,73389,0,0,0.0,100.0,0,0.0,0,0,0,0.06009084837777274,0.09315705299377441,14,24
62,1773267385.0162156,1773267415.0162156,33,15,0,10,0,0,10,33,5,28,0.3333333333333333,0.0,27.2,0.0,0.0,0.0,0.0,0.0,73402,0,0,0.0,100.0,0,0.0,0,0,0,0.05190939903259277,0.09592199325561523,9,24
63,1773267415.0162156,1773267445.0162156,35,13,0,7,0,0,7,35,9,26,0.23333333333333334,0.0,15.5,0.0,0.0,0.0,0.0,0.0,73446,0,0,0.0,100.0,0,0.0,0,0,0,0.04995645417107476,0.09967303276062012,10,25
64,1773267445.0162156,1773267475.0162156,34,14,0,12,0,0,12,34,11,23,0.4,0.0,29.533333333333335,0.0,0.0,0.0,0.0,0.0,74035,0,0,0.0,100.0,0,0.0,0,0,0,0.044608202847567474,0.08891844749450684,11,23
65,1773267475.0162156,1773267505.0162156,32,16,0,9,0,0,9,32,7,25,0.3,0.0,20.066666666666666,0.0,0.0,0.0,0.0,0.0,73551,0,0,0.0,100.0,0,0.0,0,0,0,0.044483333826065063,0.07853198051452637,8,24
66,1773267505.0162156,1773267535.0162156,32,16,0,11,0,0,11,32,11,21,0.36666666666666664,0.0,27.166666666666668,0.0,0.0,0.0,0.0,0.0,74210,0,0,0.0,100.0,0,0.0,0,0,0,0.03248763084411621,0.08609938621520996,7,25
67,1773267535.0162156,1773267565.0162156,35,13,1,12,1,1,11,35,14,21,0.4,3666.3,21.833333333333332,0.0,0.0,0.0,0.0,1.0,74317,0,0,22.395810842514038,98.44473535815875,0,100.0,0,0,0,0.049677562713623044,0.09575343132019043,13,22
68,1773267565.0162156,1773267595.0162156,38,11,3,8,0,0,8,38,11,27,0.26666666666666666,9429.366666666667,24.533333333333335,26.028695424397785,25.483611583709717,27.04355945587158,27.182221488952635,0.9986419194205522,76270,1,0,133.92162704467773,90.88968523505594,1536,0.0,0,0,0,0.051362852255503334,0.10213804244995117,13,25
69,1773267595.0162156,1773267625.0162156,36,13,0,11,0,0,11,36,9,27,0.36666666666666664,0.0,26.933333333333334,0.0,0.0,0.0,0.0,0.0,77508,0,0,0.0,100.0,0,0.0,0,0,0,0.050416257646348744,0.09736514091491699,12,24
70,1773267625.0162156,1773267655.0162156,40,9,1,8,0,0,8,40,12,28,0.26666666666666666,2704.5,16.433333333333334,42.998000621795654,42.998000621795654,42.998000621795654,42.998000621795654,0.9936858721389108,78878,0,0,54.330891609191895,96.30402097896655,2048,0.0,0,0,0,0.048327366511027016,0.08223605155944824,14,26
71,1773267655.0162156,1773267685.0162156,42,7,1,12,0,0,12,42,14,28,0.4,3835.1,25.566666666666666,42.01725649833679,42.01725649833679,42.01725649833679,42.01725649833679,1.0,79065,0,0,56.98759341239929,96.12329296514291,0,0.0,0,0,0,0.052216904503958564,0.09439229965209961,20,22
72,1773267685.0162156,1773267715.0162156,41,8,1,7,0,0,7,41,6,35,0.23333333333333334,2165.9,20.166666666666668,43.381797313690186,43.381797313690186,43.381797313690186,43.381797313690186,1.0,77782,0,0,67.75234484672546,95.39099694920235,0,0.0,0,0,0,0.06431514876229423,0.08859467506408691,17,24
73,1773267715.0162156,1773267745.0162156,39,10,1,9,0,0,9,39,7,32,0.3,2704.5,14.8,56.80380320549011,56.80380320549011,56.80380320549011,56.80380320549011,1.0,77469,0,0,75.90566754341125,94.83634914670672,0,0.0,0,0,0,0.06518588747297015,0.08934569358825684,10,29
74,1773267745.0162156,1773267775.0162156,39,10,1,12,0,0,12,39,12,27,0.4,2066.6666666666665,44.233333333333334,43.70317339897156,43.70317339897156,43.70317339897156,43.70317339897156,1.0,77864,0,0,65.6088056564331,95.53681594173923,0,0.0,0,0,0,0.04401445388793945,0.0975043773651123,14,25
75,1773267775.0162156,1773267805.0162156,38,11,1,9,0,0,9,38,8,30,0.3,3075.6666666666665,20.366666666666667,38.73922634124756,38.73922634124756,38.73922634124756,38.73922634124756,0.9979181124219292,77890,0,0,49.82456016540527,96.6105741384078,768,0.0,0,0,0,0.04645359516143799,0.10051703453063965,13,25
76,1773267805.0162156,1773267835.0162156,37,12,0,8,0,0,8,37,7,30,0.26666666666666666,0.0,11.7,0.0,0.0,0.0,0.0,0.0,79781,0,0,0.0,100.0,0,0.0,0,0,0,0.05035209655761719,0.08908820152282715,9,28
