phase_type,phase_id,cache_hit_rate,context_size,concurrency_level,start_time,end_time,duration,num_requests_launched,num_requests_completed
RETRY,FIXED_c5_run0,50,8000,5,1766198448.186522,1766198460.1353865,11.948864459991455,20,20
RETRY,FIXED_c5_RETRY_1,50,8000,5,1766198460.1370795,1766198472.0908465,11.95376706123352,20,20
RETRY,FIXED_c5_RETRY_2,50,8000,5,1766198472.091591,1766198484.0638726,11.972281694412231,20,20
RETRY,FIXED_c5_RETRY_3,50,8000,5,1766198484.064857,1766198496.1274667,12.062609672546387,20,20
RETRY,FIXED_c10_run0,50,8000,10,1766198496.1290898,1766198507.563098,11.434008121490479,30,30
RETRY,FIXED_c10_RETRY_1,50,8000,10,1766198507.5644908,1766198519.012092,11.447601318359375,30,30
RETRY,FIXED_c10_RETRY_2,50,8000,10,1766198519.0128212,1766198530.4501944,11.437373161315918,30,30
RETRY,FIXED_c10_RETRY_3,50,8000,10,1766198530.4510589,1766198541.970822,11.519763231277466,30,30
