period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773254268.8290405,1773254298.8290405,21,19,0,0,0,0,0,21,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0,0.0,0,0,0,0.8608464967636835,5.004845142364502,12,9
2,1773254298.8290405,1773254328.8290405,28,12,0,5,0,0,5,28,12,16,0.16666666666666666,0.0,13.633333333333333,0.0,0.0,0.0,0.0,0.0,5305,0,0,0.0,100.0,0,0.0,0,0,0,0.039166430632273354,0.09048056602478027,13,15
3,1773254328.8290405,1773254358.8290405,28,12,0,5,0,0,5,28,5,23,0.16666666666666666,0.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,11400,0,0,0.0,100.0,0,0.0,0,0,0,0.017794275283813478,0.0374293327331543,12,16
4,1773254358.8290405,1773254388.8290405,20,20,8,17,4,4,13,20,5,15,0.5666666666666667,28253.166666666668,36.266666666666666,31.065776348114014,38.97468864917755,47.351252102851866,47.70576563358307,0.9594349599637407,19941,0,0,380.1519067287445,68.32067443927129,137472,0.0,0,0,0,0.06689180268181695,0.09865307807922363,0,20
5,1773254388.8290405,1773254418.8290405,8,32,19,51,34,34,17,8,5,3,1.7,78060.1,250.3,0.7127250222598805,0.5677993297576904,1.5684498429298392,2.2802330589294444,0.8978180028437056,39891,0,0,142.28091955184937,88.14325670401256,956672,76.24249925800399,0,0,0,0.04918063603914701,0.09656643867492676,1,7
6,1773254418.8290405,1773254448.8290405,19,23,12,26,20,20,6,19,17,2,0.8666666666666667,49463.933333333334,131.5,1.6815990039280482,1.0746259689331055,5.051693439483643,5.364312648773193,0.823344120819849,41447,2,0,155.78967261314392,87.6357402687981,1048064,43.94669986906506,0,0,0,0.04625268240232725,0.1003422737121582,1,18
7,1773254448.8290405,1773254478.8290405,35,9,0,5,0,0,5,35,21,14,0.16666666666666666,0.0,11.633333333333333,0.0,0.0,0.0,0.0,0.0,41862,2,0,0.0,100.0,0,0.0,0,0,0,0.05667969158717564,0.12241983413696289,15,20
8,1773254478.8290405,1773254508.8290405,13,31,16,34,5,5,29,13,7,6,1.1333333333333333,43807.566666666666,167.13333333333333,23.428799284829033,24.077199697494507,35.837976133823396,36.11585953950882,0.9269671132764921,55945,0,0,575.8716371059418,56.37336082530744,383744,0.0,0,0,0,0.038103838761647545,0.09669041633605957,0,13
9,1773254508.8290405,1773254538.8290405,14,30,19,41,29,29,12,14,13,1,1.3666666666666667,77624.66666666667,206.4,1.55357027053833,0.8921554088592529,4.134413671493528,4.668092527389526,0.9300503175781573,61422,0,0,172.0833556652069,86.96338214657524,651264,48.21432431538899,0,0,0,0.03808202629997617,0.09749579429626465,1,13
10,1773254538.8290405,1773254568.8290405,24,22,12,27,15,15,12,24,22,2,0.9,37316.433333333334,113.13333333333334,1.318416029214859,1.2276607751846313,2.745244324207306,2.870992147922516,0.8676428530572556,62637,2,0,91.20883059501648,93.39066444963649,592384,56.052799026171364,0,0,0,0.047777588303024705,0.09067726135253906,11,13
11,1773254568.8290405,1773254598.8290405,25,22,16,29,13,13,16,25,17,8,0.9666666666666667,58614.566666666666,156.23333333333332,4.339377045631409,4.25418746471405,7.819124865531925,11.173470625877375,0.8974657733760559,66030,2,0,258.18046021461487,81.68932906279326,720896,0.0,0,0,0,0.05585050582885742,0.10271263122558594,3,22
12,1773254598.8290405,1773254628.8290405,7,40,21,45,22,22,23,7,5,2,1.5,62414.03333333333,292.1,2.201654176712036,1.3624815940856934,5.969319820404053,6.025600299835205,0.9083572698673232,69255,0,0,265.1980698108673,81.19162625454842,686080,26.611527442932132,0,0,0,0.039831965057938186,0.09119725227355957,1,6
13,1773254628.8290405,1773254658.8290405,14,33,18,32,28,28,4,14,11,3,1.0666666666666667,77003.56666666667,197.4,1.018442285471949,0.7167067527770996,2.472342967987059,2.826468448638916,0.8974223946784923,65717,0,0,187.68115878105164,86.68927951907435,947456,66.0519238176017,0,0,0,0.04796643746204865,0.10003256797790527,4,10
14,1773254658.8290405,1773254688.8290405,11,36,20,36,23,23,13,11,10,1,1.2,73493.43333333333,214.76666666666668,1.832136286629571,1.8047432899475098,3.6667081356048583,4.052078146934509,0.9094578505677033,68366,0,0,214.36763906478882,84.79662134292279,798208,38.92879044568097,0,0,0,0.05123681733102509,0.1159963607788086,3,8
15,1773254688.8290405,1773254718.8290405,23,26,17,25,17,17,8,23,20,3,0.8333333333333334,45816.13333333333,122.3,1.5343675374984742,0.8710017204284668,4.078549528121949,4.146182088851929,0.9109289108357402,67883,2,0,146.5741846561432,90.02896703019434,489472,48.85441541671753,0,0,0,0.05163855166048617,0.09951257705688477,5,18
16,1773254718.8290405,1773254748.8290405,15,35,21,39,22,22,17,15,9,6,1.3,65613.16666666667,219.4,2.465105251029686,1.3500235080718994,8.145992279052733,8.912869119644165,0.8807285737518296,74183,1,0,251.69691276550293,83.22020581563314,938752,17.82982496567714,0,0,0,0.05128483618459394,0.09807276725769043,6,9
17,1773254748.8290405,1773254778.8290405,21,30,15,26,13,13,13,21,19,2,0.8666666666666667,43212.53333333333,156.2,2.3000678639662895,2.5654497146606445,4.007936120033263,4.404742550849915,0.803625228428903,75939,1,0,159.97025847434998,89.54442755069608,1017856,23.331071201123684,0,0,0,0.05409291386604309,0.11591267585754395,3,18
18,1773254778.8290405,1773254808.8290405,24,28,9,22,8,8,14,24,17,7,0.7333333333333333,20229.433333333334,90.6,1.8528489589691162,1.7122256755828857,4.130663549900054,4.524171764850617,0.9461968562084608,77417,1,0,105.5023238658905,93.23703052141727,130560,38.23836803436279,0,0,0,0.04548054695129394,0.09781122207641602,0,24
19,1773254808.8290405,1773254838.8290405,17,37,16,40,20,20,20,17,13,4,1.3333333333333333,34018.8,267.3666666666667,0.684009850025177,0.5365729331970215,1.5560203671455384,1.6029124474525451,0.8285857698582005,82680,2,0,119.39255332946777,92.63008930065013,699392,77.19967166582742,0,0,0,0.05101773955605247,0.09933304786682129,3,14
20,1773254838.8290405,1773254868.8290405,23,33,12,24,13,13,11,23,17,6,0.8,32662.766666666666,133.46666666666667,1.8479235490163168,0.9274506568908691,5.009876060485838,5.867229995727538,0.7221822933681803,82264,2,0,135.96722722053528,91.90671266544432,1088512,38.40254836612277,0,0,0,0.04995712439219157,0.09918737411499023,4,19
21,1773254868.8290405,1773254898.8290405,22,34,17,33,14,14,19,22,18,4,1.1,48791.066666666666,217.63333333333333,1.3945995499106014,1.2897393703460693,2.8208631992340085,3.2326336765289305,0.9056991645890741,86404,0,0,167.8879156112671,90.00667168980553,551936,53.513348336313285,0,0,0,0.05192921310663223,0.10071802139282227,0,22
22,1773254898.8290405,1773254928.8290405,19,37,19,40,23,23,17,19,14,5,1.3333333333333333,69727.3,207.36666666666667,2.136980948240861,1.3132266998291016,4.4658461809158325,4.816113920211793,0.957028739326049,88709,0,0,240.4735336303711,85.68609918866838,359424,28.76730172530464,0,0,0,0.04553528089781065,0.09939265251159668,0,19
23,1773254928.8290405,1773254958.8290405,19,36,18,32,20,20,12,19,12,7,1.0666666666666667,58287.96666666667,199.36666666666667,3.612336218357086,3.774043083190918,5.894465780258179,6.014963979721069,0.9562113279390766,84171,1,0,200.3630495071411,87.85678487835509,306176,0.0,0,0,0,0.050502873957157135,0.10039854049682617,2,17
24,1773254958.8290405,1773254988.8290405,18,37,18,28,20,20,8,18,7,11,0.9333333333333333,65981.5,165.7,6.468578508922032,6.767601728439331,11.094419956207275,11.17748384475708,0.9939840869396468,88259,0,0,281.9287815093994,82.91340718124852,47616,0.0,0,0,0,0.04617693689134386,0.09865975379943848,0,18
25,1773254988.8290405,1773255018.8290405,21,34,16,27,16,16,11,21,14,7,0.9,55865.96666666667,140.2,5.065351784229279,5.946242332458496,8.004463016986847,8.428099977970122,0.9554222850376256,88502,0,0,201.76515412330627,87.77180884101175,298752,0.0,0,0,0,0.050649444262186684,0.09954404830932617,1,20
26,1773255018.8290405,1773255048.8290405,17,38,16,36,17,17,19,17,15,2,1.2,52247.8,216.23333333333332,1.4676566264208626,0.7592203617095947,3.638494300842285,3.9529033279418946,0.9651186537597517,89664,0,0,114.34035348892212,93.070281606732,218624,51.07811245263791,0,0,0,0.04509914666414261,0.09637737274169922,1,16
27,1773255048.8290405,1773255078.8290405,19,37,17,33,19,19,14,19,16,3,1.1,62353.066666666666,178.0,1.2516993880271912,0.8744505643844604,3.3075936555862437,4.268278183937071,0.9747441908216693,93106,1,0,169.6878433227539,89.89953313555036,188928,58.27668706576029,0,0,0,0.044205972126552036,0.10031414031982422,1,18
28,1773255078.8290405,1773255108.8290405,14,44,19,41,25,25,16,14,11,3,1.3666666666666667,72217.5,254.66666666666666,1.487880064890935,0.9234882593154907,3.6689369678497314,4.515952885150909,0.9731367102074591,95050,2,0,229.47587823867798,86.81173113570816,232704,50.40399783696884,0,0,0,0.04132340351740519,0.09145712852478027,0,14
29,1773255108.8290405,1773255138.8290405,18,40,18,32,21,21,11,18,15,3,1.0666666666666667,55744.23333333333,224.1,2.7223563421340216,0.8736577033996582,7.398189306259155,7.894374990463257,0.9905819295558959,90677,1,0,215.88069200515747,87.5930636778645,62976,9.254788595532615,0,0,0,0.04525731007258097,0.09684514999389648,3,15
