request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.7052557468414307,1.7052557468414307,0.0003745555877685547,1.7056457996368408,1773209269.1554189,1773209270.8610647,1,0.0
P1_c1_r1,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.709538459777832,1.7095386981964111,0.00035452842712402344,1.7098989486694336,1773209270.9015224,1773209272.6114213,1,0.0
P1_c1_r2,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6683294773101807,1.6683297157287598,0.0003509521484375,1.6686851978302002,1773209272.6525586,1773209274.3212438,1,0.0
P1_c1_r3,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6914432048797607,1.6914434432983398,0.0003516674041748047,1.6918001174926758,1773209274.3611906,1773209276.0529907,1,0.0
P1_c1_r4,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.38231801986694336,0.38231825828552246,0.0003237724304199219,0.3826460838317871,1773209276.0924451,1773209276.4750912,1,0.0
P1_c1_r5,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3691582679748535,0.3691582679748535,0.00034356117248535156,0.3695061206817627,1773209276.5127797,1773209276.8822858,1,0.0
P1_c1_r6,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3744685649871826,0.3744685649871826,0.00037789344787597656,0.37485337257385254,1773209276.9277713,1773209277.3026247,1,0.0
P1_c1_r7,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3641793727874756,0.3641796112060547,0.0003294944763183594,0.3645131587982178,1773209277.3436043,1773209277.7081175,1,0.0
P1_c1_r8,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3601689338684082,0.3601691722869873,0.0003421306610107422,0.3605163097381592,1773209277.7545323,1773209278.1150486,1,0.0
P1_c1_r9,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6593577861785889,1.659358024597168,0.0003349781036376953,1.6596972942352295,1773209278.1531563,1773209279.8128536,1,0.0
