request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P1_c2_r0,SUSTAINED_P1,95,64000,60672,3328,1,0.5445835590362549,0.5445835590362549,0.0005805492401123047,0.5451700687408447,1766196239.8920639,1766196240.437234,2,0.0,1766196240.4366474,[1766196240.4366493],[1]
P1_c2_r1,SUSTAINED_P1,95,64000,60672,3328,1,0.7880039215087891,0.7880039215087891,0.0006170272827148438,0.7886273860931396,1766196239.9405572,1766196240.7291846,2,0.0,1766196240.7285612,[1766196240.7285626],[1]
P1_c2_r2,SUSTAINED_P1,95,64000,60672,3328,1,0.5426115989685059,0.5426115989685059,0.0005600452423095703,0.5431766510009766,1766196240.4812896,1766196241.0244663,2,0.0,1766196241.0239012,[1766196241.023903],[1]
P1_c2_r3,SUSTAINED_P1,95,64000,60672,3328,1,0.5459554195404053,0.5459554195404053,0.0006043910980224609,0.5465643405914307,1766196240.7724702,1766196241.3190346,2,0.0,1766196241.3184257,[1766196241.318427],[1]
P1_c2_r4,SUSTAINED_P1,95,64000,60672,3328,1,0.549612283706665,0.549612283706665,0.0005540847778320312,0.5501704216003418,1766196241.0684903,1766196241.6186607,2,0.0,1766196241.6181026,[1766196241.6181035],[1]
P1_c2_r5,SUSTAINED_P1,95,64000,60672,3328,1,0.5408670902252197,0.5408670902252197,0.0006418228149414062,0.5415141582489014,1766196241.3687592,1766196241.9102733,2,0.0,1766196241.9096262,[1766196241.909628],[1]
P1_c2_r6,SUSTAINED_P1,95,64000,60672,3328,1,0.5399305820465088,0.5399305820465088,0.0005240440368652344,0.540459394454956,1766196241.6608286,1766196242.201288,2,0.0,1766196242.2007592,[1766196242.2007606],[1]
P1_c2_r7,SUSTAINED_P1,95,64000,60672,3328,1,0.5362973213195801,0.5362973213195801,0.0005593299865722656,0.5368616580963135,1766196241.9544506,1766196242.4913123,2,0.0,1766196242.490748,[1766196242.4907498],[1]
P1_c2_r8,SUSTAINED_P1,95,64000,60672,3328,1,0.5383358001708984,0.5383358001708984,0.0006499290466308594,0.5389904975891113,1766196242.2438931,1766196242.7828836,2,0.0,1766196242.782229,[1766196242.7822304],[1]
P1_c2_r9,SUSTAINED_P1,95,64000,60672,3328,1,0.5397636890411377,0.5397636890411377,0.0005476474761962891,0.5403158664703369,1766196242.5352266,1766196243.0755424,2,0.0,1766196243.0749903,[1766196243.0749917],[1]
P1_c2_r10,SUSTAINED_P1,95,64000,60672,3328,1,0.5453221797943115,0.5453221797943115,0.00074005126953125,0.5460672378540039,1766196242.8256707,1766196243.371738,2,0.0,1766196243.370993,[1766196243.3709943],[1]
P1_c2_r11,SUSTAINED_P1,95,64000,60672,3328,1,0.545050859451294,0.545050859451294,0.0005102157592773438,0.5455656051635742,1766196243.1191924,1766196243.664758,2,0.0,1766196243.6642432,[1766196243.6642442],[1]
P1_c2_r12,SUSTAINED_P1,95,64000,60672,3328,1,0.5441427230834961,0.5441427230834961,0.0005557537078857422,0.5447027683258057,1766196243.4155126,1766196243.9602153,2,0.0,1766196243.9596553,[1766196243.9596562],[1]
P1_c2_r13,SUSTAINED_P1,95,64000,60672,3328,1,0.5464591979980469,0.5464591979980469,0.0005490779876708984,0.5470125675201416,1766196243.706764,1766196244.2537766,2,0.0,1766196244.2532232,[1766196244.2532244],[1]
P1_c2_r14,SUSTAINED_P1,95,64000,60672,3328,1,0.5428245067596436,0.5428245067596436,0.0005619525909423828,0.5433909893035889,1766196244.0039089,1766196244.5472999,2,0.0,1766196244.5467334,[1766196244.5467346],[1]
P1_c2_r15,SUSTAINED_P1,95,64000,60672,3328,1,0.5422244071960449,0.5422244071960449,0.0005247592926025391,0.5427536964416504,1766196244.2970264,1766196244.83978,2,0.0,1766196244.8392508,[1766196244.8392518],[1]
P1_c2_r16,SUSTAINED_P1,95,64000,60672,3328,1,0.5436656475067139,0.5436656475067139,0.0006375312805175781,0.5443079471588135,1766196244.590888,1766196245.135196,2,0.0,1766196245.1345537,[1766196245.134555],[1]
P1_c2_r17,SUSTAINED_P1,95,64000,60672,3328,1,0.5267724990844727,0.5267724990844727,0.0005850791931152344,0.5273735523223877,1766196244.8989458,1766196245.4263194,2,0.0,1766196245.4257183,[1766196245.4257228],[1]
P1_c2_r18,SUSTAINED_P1,95,64000,60672,3328,1,0.5762207508087158,0.5762207508087158,0.0005524158477783203,0.5767776966094971,1766196245.178403,1766196245.7551806,2,0.0,1766196245.7546237,[1766196245.7546248],[1]
P1_c2_r19,SUSTAINED_P1,95,64000,60672,3328,1,0.5763282775878906,0.5763282775878906,0.0005548000335693359,0.5768876075744629,1766196245.470914,1766196246.0478015,2,0.0,1766196246.0472422,[1766196246.0472438],[1]
P1_c2_r20,SUSTAINED_P1,95,64000,60672,3328,1,0.5450408458709717,0.5450408458709717,0.0006616115570068359,0.5457069873809814,1766196245.7985978,1766196246.3443048,2,0.0,1766196246.3436387,[1766196246.3436403],[1]
P1_c2_r21,SUSTAINED_P1,95,64000,60672,3328,1,0.545356035232544,0.545356035232544,0.0005228519439697266,0.545884370803833,1766196246.0918648,1766196246.6377492,2,0.0,1766196246.6372209,[1766196246.6372228],[1]
P1_c2_r22,SUSTAINED_P1,95,64000,60672,3328,1,0.5445008277893066,0.5445008277893066,0.0006299018859863281,0.545135498046875,1766196246.388494,1766196246.9336295,2,0.0,1766196246.9329948,[1766196246.9329963],[1]
P1_c2_r23,SUSTAINED_P1,95,64000,60672,3328,1,0.5441305637359619,0.5441305637359619,0.0005197525024414062,0.544654369354248,1766196246.6802263,1766196247.2248807,2,0.0,1766196247.224357,[1766196247.224358],[1]
P1_c2_r24,SUSTAINED_P1,95,64000,60672,3328,1,0.5409531593322754,0.5409531593322754,0.0005567073822021484,0.5415143966674805,1766196246.977718,1766196247.5192325,2,0.0,1766196247.5186713,[1766196247.5186725],[1]
P1_c2_r25,SUSTAINED_P1,95,64000,60672,3328,1,0.5437498092651367,0.5437498092651367,0.0005369186401367188,0.5442914962768555,1766196247.2676115,1766196247.811903,2,0.0,1766196247.8113613,[1766196247.8113625],[1]
P1_c2_r26,SUSTAINED_P1,95,64000,60672,3328,1,0.542959451675415,0.542959451675415,0.0005614757537841797,0.5435261726379395,1766196247.5628736,1766196248.1063998,2,0.0,1766196248.105833,[1766196248.1058342],[1]
P1_c2_r27,SUSTAINED_P1,95,64000,60672,3328,1,0.531365156173706,0.531365156173706,0.0005652904510498047,0.5319356918334961,1766196247.8664136,1766196248.3983493,2,0.0,1766196248.3977787,[1766196248.3977804],[1]
P1_c2_r28,SUSTAINED_P1,95,64000,60672,3328,1,0.544586181640625,0.544586181640625,0.0005230903625488281,0.545114278793335,1766196248.148965,1766196248.6940792,2,0.0,1766196248.693551,[1766196248.6935525],[1]
P1_c2_r29,SUSTAINED_P1,95,64000,60672,3328,1,0.5434067249298096,0.5434067249298096,0.0005724430084228516,0.5439839363098145,1766196248.4426918,1766196248.9866757,2,0.0,1766196248.9860985,[1766196248.9861],[1]
P1_c2_r30,SUSTAINED_P1,95,64000,60672,3328,1,0.5426139831542969,0.5426139831542969,0.0005333423614501953,0.54315185546875,1766196248.7368064,1766196249.2799582,2,0.0,1766196249.2794204,[1766196249.2794213],[1]
P1_c2_r31,SUSTAINED_P1,95,64000,60672,3328,1,0.5438084602355957,0.5438084602355957,0.0005786418914794922,0.5443921089172363,1766196249.0303183,1766196249.5747104,2,0.0,1766196249.5741267,[1766196249.5741286],[1]
