period_number,context_size,cache_hit_rate,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,95,1766196239.8439994,1766196270.282731,30.436984062194824,2,102,100,6400000,100,210270.50469002654,3.2854766357816647,0.5483817672729492,0.544136643409729,0.5755106210708618,0.579532208442689,0.5483817672729492,0.544136643409729,0.5755106210708618,0.579532208442689,0,0,0,0,1762.2302866303235,0.5483817672729492,RAMP_UP,22
2,64000,95,1766196270.2827582,1766196305.6466663,35.362393617630005,22,129,107,6848000,107,193652.04952036712,3.025813273755736,5.340451200431753,5.811649560928345,6.389288473129272,6.4132395029068,5.340451200431753,5.811649560928345,6.389288473129272,6.4132395029068,0,0,0,0,1016.2171673769708,5.340451200431753,RAMP_DOWN,20
3,64000,95,1766196305.646689,1766196340.823822,35.17566800117493,20,127,107,6848000,107,194680.0271076946,3.041875423557728,4.972155831684576,5.193006277084351,5.839826560020446,6.2276731300354005,4.972155831684576,5.193006277084351,5.839826560020446,6.2276731300354005,0,0,0,0,1104.719346619432,4.972155831684576,RAMP_UP,22
4,64000,95,1766196340.8238387,1766196376.1002104,35.27497673034668,22,129,107,6848000,107,194131.9494651499,3.033311710392967,5.324850169297691,5.819681167602539,6.3869963645935055,6.406986207962036,5.324850169297691,5.819681167602539,6.3869963645935055,6.406986207962036,0,0,0,0,1084.6254915478698,5.324850169297691,RAMP_DOWN,20
5,64000,95,1766196376.1002243,1766196411.3126495,35.21114945411682,20,127,107,6848000,107,194483.85259116683,3.0388101967369816,4.982096732219803,5.183730840682983,5.830053091049194,5.840303130149842,4.982096732219803,5.183730840682983,5.830053091049194,5.840303130149842,0,0,0,0,1065.2742844852455,4.982096732219803,RAMP_UP,22
6,64000,95,1766196411.3126655,1766196446.9813478,35.66720008850098,22,129,107,6848000,107,191997.128538491,2.999955133413922,5.406177008263419,5.827389717102051,6.39491901397705,6.754070043563842,5.406177008263419,5.827389717102051,6.39491901397705,6.754070043563842,0,0,0,0,1100.8613735074628,5.406177008263419,RAMP_DOWN,20
7,64000,95,1766196446.9813626,1766196481.777117,34.79435324668884,20,127,107,6848000,107,196813.54475676827,3.075211636824504,4.902010937717473,5.193356513977051,5.838520836830139,5.854175224304199,4.902010937717473,5.193356513977051,5.838520836830139,5.854175224304199,0,0,0,0,1109.8111162227053,4.902010937717473,RAMP_UP,22
8,64000,95,1766196481.7771292,1766196517.2437298,35.465319871902466,22,129,107,6848000,107,193090.03907858036,3.017031860602818,5.360177401070283,5.832982778549194,6.417146897315979,6.435102787017822,5.360177401070283,5.832982778549194,6.417146897315979,6.435102787017822,0,0,0,0,1044.8013577065385,5.360177401070283,RAMP_DOWN,20
9,64000,95,1766196517.2437444,1766196544.8024142,27.557482481002808,20,99,80,5120000,80,185793.4593092658,2.903022801707278,4.838631990551948,5.194524526596069,6.1201664686203,6.237689328193665,4.838631990551948,5.194524526596069,6.1201664686203,6.237689328193665,0,0,0,0,1042.8269392512884,4.838631990551948,RAMP_UP,22
