timestamp,user_id,event_type,trace_id,details
1773216684.0861013,User-087,started,trace_0218,"530 requests, 15,161 initial tokens"
1773216684.1409278,User-088,started,trace_0016,"181 requests, 64,831 initial tokens"
1773216684.1928272,User-089,started,trace_0531,"181 requests, 12,278 initial tokens"
1773216714.0803664,User-090,started,trace_0370,"32 requests, 17,925 initial tokens"
1773216714.1311765,User-091,started,trace_0313,"244 requests, 18,713 initial tokens"
1773216714.1820111,User-092,started,trace_0208,"10 requests, 8,868 initial tokens"
1773216714.2340078,User-093,started,trace_0298,"183 requests, 20,481 initial tokens"
1773216714.2843554,User-094,started,trace_0484,"38 requests, 12,351 initial tokens"
1773216714.3350496,User-095,started,trace_0560,"38 requests, 12,351 initial tokens"
1773216744.110041,User-096,started,trace_0267,"418 requests, 16,735 initial tokens"
1773216744.161378,User-097,started,trace_0358,"42 requests, 25,259 initial tokens"
1773216744.211824,User-098,started,trace_0258,"170 requests, 18,265 initial tokens"
1773216744.262121,User-099,started,trace_0410,"22 requests, 12,332 initial tokens"
1773216744.3123584,User-100,started,trace_0523,"46 requests, 12,012 initial tokens"
1773216744.3632023,User-101,started,trace_0635,"38 requests, 12,351 initial tokens"
1773216774.0606656,User-102,started,trace_0247,"237 requests, 19,785 initial tokens"
1773216774.1136491,User-103,started,trace_0539,"309 requests, 23,861 initial tokens"
1773216774.1643937,User-104,started,trace_0507,"231 requests, 54,116 initial tokens"
1773216804.1220286,User-105,started,trace_0132,"48 requests, 18,964 initial tokens"
1773216804.1729248,User-106,started,trace_0021,"382 requests, 19,105 initial tokens"
1773216804.2257698,User-107,started,trace_0622,"25 requests, 12,333 initial tokens"
1773216804.2767107,User-108,started,trace_0626,"145 requests, 12,872 initial tokens"
1773216804.3280084,User-109,started,trace_0579,"361 requests, 13,182 initial tokens"
1773216805.1856647,User-056,completed,trace_0390,"21/21 requests, 24.8% cache hit"
1773216805.1859293,User-110,started,trace_0137,"134 requests, 19,856 initial tokens"
1773216825.3310466,User-092,truncated,trace_0208,"4/10 requests, 74.3% cache hit"
1773216825.3312955,User-111,started,trace_0475,"24 requests, 72,324 initial tokens"
1773216831.7266104,User-053,completed,trace_0436,"19/19 requests, 76.4% cache hit"
1773216864.0757096,User-112,started,trace_0243,"217 requests, 19,560 initial tokens"
1773216864.1258607,User-113,started,trace_0404,"229 requests, 77,118 initial tokens"
1773216874.2365117,User-081,completed,trace_0486,"14/14 requests, 88.2% cache hit"
1773216874.2367024,User-114,started,trace_0328,"114 requests, 21,909 initial tokens"
1773216894.105598,User-115,started,trace_0145,"205 requests, 18,342 initial tokens"
1773216894.1561801,User-116,started,trace_0283,"140 requests, 12,639 initial tokens"
1773216894.2069347,User-117,started,trace_0077,"23 requests, 19,167 initial tokens"
1773216894.2581792,User-118,started,trace_0359,"80 requests, 27,475 initial tokens"
1773216894.3110201,User-018,completed,trace_0042,"12/12 requests, 84.5% cache hit"
1773216894.3113554,User-119,started,trace_0197,"136 requests, 15,688 initial tokens"
1773216924.1141233,User-120,started,trace_0502,"106 requests, 11,404 initial tokens"
1773216924.164344,User-121,started,trace_0039,"271 requests, 18,441 initial tokens"
1773216924.2146497,User-122,started,trace_0343,"61 requests, 19,280 initial tokens"
1773216924.2649755,User-123,started,trace_0551,"25 requests, 12,178 initial tokens"
1773216924.315175,User-124,started,trace_0503,"123 requests, 12,333 initial tokens"
1773216954.1004255,User-125,started,trace_0070,"286 requests, 89,509 initial tokens"
1773217088.3550875,User-071,completed,trace_0625,"26/26 requests, 50.8% cache hit"
1773217088.3553762,User-126,started,trace_0397,"153 requests, 60,118 initial tokens"
1773217104.088452,User-127,started,trace_0492,"22 requests, 11,820 initial tokens"
1773217104.1394722,User-128,started,trace_0482,"1926 requests, 11,741 initial tokens"
1773217104.189882,User-129,started,trace_0284,"1140 requests, 16,254 initial tokens"
1773217126.3022635,User-045,completed,trace_0627,"39/39 requests, 49.0% cache hit"
1773217126.3025575,User-130,started,trace_0554,"129 requests, 76,360 initial tokens"
1773217134.182491,User-131,started,trace_0034,"58 requests, 19,907 initial tokens"
1773217164.1808577,User-132,started,trace_0193,"28 requests, 15,161 initial tokens"
1773217164.2314503,User-133,started,trace_0357,"173 requests, 20,245 initial tokens"
1773217164.2831972,User-134,started,trace_0001,"14 requests, 20,064 initial tokens"
1773217164.3334513,User-135,started,trace_0318,"86 requests, 17,404 initial tokens"
1773217164.3840141,User-136,started,trace_0098,"42 requests, 18,587 initial tokens"
1773217194.1477423,User-137,started,trace_0178,"288 requests, 20,289 initial tokens"
1773217194.2011669,User-138,started,trace_0375,"138 requests, 56,796 initial tokens"
1773217194.2524657,User-139,started,trace_0304,"1594 requests, 19,105 initial tokens"
1773217237.0902593,User-024,completed,trace_0434,"23/23 requests, 88.9% cache hit"
1773217237.0906153,User-140,started,trace_0259,"179 requests, 18,333 initial tokens"
1773217339.36038,User-077,completed,trace_0597,"35/35 requests, 34.3% cache hit"
1773217339.3606946,User-141,started,trace_0574,"22 requests, 66,309 initial tokens"
1773217464.104773,User-142,started,trace_0066,"119 requests, 17,590 initial tokens"
1773217464.1557462,User-143,started,trace_0609,"72 requests, 9,691 initial tokens"
1773217483.6023242,User-079,completed,trace_0444,"41/41 requests, 43.5% cache hit"
1773217483.6025772,User-144,started,trace_0383,"183 requests, 21,263 initial tokens"
1773217524.1759684,User-145,started,trace_0569,"47 requests, 11,639 initial tokens"
1773217524.226159,User-146,started,trace_0580,"21 requests, 12,073 initial tokens"
1773217524.276356,User-147,started,trace_0067,"141 requests, 20,202 initial tokens"
1773217524.3332887,User-148,started,trace_0450,"39 requests, 12,175 initial tokens"
1773217694.2902849,User-107,completed,trace_0622,"25/25 requests, 43.8% cache hit"
1773217694.290549,User-149,started,trace_0007,"203 requests, 18,205 initial tokens"
1773217698.2140203,User-123,completed,trace_0551,"25/25 requests, 51.8% cache hit"
1773217698.2142763,User-150,started,trace_0333,"102 requests, 18,195 initial tokens"
1773217761.7808075,User-127,completed,trace_0492,"22/22 requests, 47.1% cache hit"
1773217761.7811186,User-151,started,trace_0151,"226 requests, 17,627 initial tokens"
1773217923.6534803,User-095,completed,trace_0560,"38/38 requests, 45.7% cache hit"
1773217923.6537776,User-152,started,trace_0317,"328 requests, 19,093 initial tokens"
1773217929.0252576,User-094,completed,trace_0484,"38/38 requests, 45.7% cache hit"
1773217929.025547,User-153,started,trace_0279,"145 requests, 18,835 initial tokens"
1773218113.280826,User-101,completed,trace_0635,"38/38 requests, 45.7% cache hit"
1773218113.281264,User-154,started,trace_0447,"40 requests, 12,290 initial tokens"
1773218172.6851149,User-064,completed,trace_0423,"22/22 requests, 91.8% cache hit"
1773218172.6856291,User-155,started,trace_0227,"277 requests, 20,506 initial tokens"
1773218305.1813939,User-037,completed,trace_0024,"26/26 requests, 94.4% cache hit"
1773218305.181721,User-156,started,trace_0229,"346 requests, 24,739 initial tokens"
1773218322.0478246,User-083,completed,trace_0619,"26/26 requests, 95.8% cache hit"
1773218322.0483105,User-157,started,trace_0356,"103 requests, 19,297 initial tokens"
1773218346.875565,User-008,completed,trace_0589,"54/54 requests, 63.6% cache hit"
1773218346.8760939,User-158,started,trace_0610,"123 requests, 36,207 initial tokens"
1773218412.021459,User-146,completed,trace_0580,"21/21 requests, 62.2% cache hit"
1773218412.0216236,User-159,started,trace_0411,"16 requests, 12,312 initial tokens"
1773218625.3457258,User-099,completed,trace_0410,"22/22 requests, 87.3% cache hit"
1773218625.346055,User-160,started,trace_0612,"26 requests, 12,240 initial tokens"
1773218756.5787067,User-132,completed,trace_0193,"28/28 requests, 95.0% cache hit"
1773218756.57895,User-161,started,trace_0572,"188 requests, 52,782 initial tokens"
1773218793.8802178,User-100,truncated,trace_0523,"30/46 requests, 78.6% cache hit"
1773218793.8805661,User-162,started,trace_0092,"115 requests, 20,675 initial tokens"
1773218794.740962,User-148,completed,trace_0450,"39/39 requests, 33.5% cache hit"
1773218794.7411225,User-163,started,trace_0065,"15 requests, 18,105 initial tokens"
