Old Traces Cache Hit Rates (callanjfox traces)
==================================================
Trace             Reqs  Same-Model%  Cumulative%
trace_0174         282        99.1%        99.1%
trace_0175         129        98.7%        98.7%
trace_0176         161        98.3%        98.3%
trace_0177         401        99.2%        99.2%
trace_0178         170        98.0%        98.0%
trace_0179         201        98.9%        98.9%
trace_0180         181        98.7%        98.7%
trace_0181          91        98.7%        98.7%
trace_0182         208        99.0%        99.0%
trace_0183          14        92.8%        92.8%
trace_0184         239        99.4%        99.4%
trace_0185         314        98.0%        98.0%
trace_0186          82        97.9%        97.9%
trace_0187          47        95.2%        95.2%
trace_0188         110        97.7%        97.7%
trace_0189         291        96.8%        98.9%
trace_0190          37        96.7%        96.7%
trace_0191         124        98.4%        98.4%
trace_0192          98        98.5%        98.5%
trace_0193         136        98.9%        98.9%
trace_0194         245        99.3%        99.3%
trace_0195         218        98.8%        98.8%
trace_0196          14        92.4%        92.4%
trace_0197          16        95.1%        95.1%
trace_0198          58        98.3%        98.3%
trace_0199         220        97.7%        97.7%
trace_0200         178        99.2%        99.2%
trace_0201         166        99.1%        99.1%
trace_0202         163        99.1%        99.1%
trace_0203          56        98.1%        98.1%
trace_0204          93        98.8%        98.8%
trace_0205         163        99.0%        99.0%
trace_0206         100        98.2%        98.2%
trace_0207         163        98.8%        98.8%
trace_0208          57        97.7%        97.7%
trace_0209          28        92.8%        92.8%
trace_0210         173        97.9%        97.9%
trace_0211         206        99.3%        99.3%
trace_0212         110        98.6%        98.6%
trace_0213         167        99.1%        99.1%
trace_0214         258        99.1%        99.1%
trace_0215         177        99.1%        99.1%
trace_0216         387        93.1%        93.1%
trace_0217         386        96.7%        96.7%
trace_0218        1571        98.2%        98.2%
trace_0219          80        95.4%        95.4%
trace_0220          65        97.2%        97.2%
trace_0221         774        97.5%        97.5%
trace_0222        1202        97.8%        98.0%
trace_0223          92        96.8%        96.8%
trace_0224         122        96.1%        96.1%
trace_0225         837        96.0%        96.2%
trace_0226         323        97.0%        97.6%
trace_0227         125        96.2%        96.2%
trace_0228         186        96.1%        96.1%
trace_0229         565        97.9%        98.0%
trace_0230         105        98.1%        98.1%
trace_0231          27        95.9%        95.9%
trace_0232         133        98.2%        98.2%
trace_0233         823        95.1%        95.8%
trace_0234         287        96.6%        97.0%
trace_0235         120        98.0%        98.0%
trace_0236         505        97.7%        97.7%
trace_0237         345        93.4%        93.9%
trace_0238         687        98.9%        98.9%
trace_0239          48        98.2%        98.2%
trace_0240         603        97.8%        97.9%
trace_0241          42        95.9%        95.9%
trace_0242         104        96.9%        96.9%
trace_0243         100        96.8%        96.8%
trace_0244        1131        99.0%        99.0%
trace_0245          65        95.2%        95.2%
trace_0246         782        97.0%        97.0%
trace_0247         131        98.7%        98.7%
trace_0248         287        89.7%        92.5%
trace_0249          42        94.0%        94.0%
trace_0250          40        94.4%        94.4%
trace_0251          80        91.6%        91.6%
trace_0252        1147        97.0%        97.1%
trace_0253          44        97.0%        97.0%
trace_0254          13        93.2%        93.2%
trace_0255         324        98.3%        98.3%
trace_0256         315        97.8%        97.8%
trace_0257         242        97.9%        97.9%
trace_0258          26        95.6%        95.6%
trace_0259         849        98.4%        98.5%
trace_0260         536        98.9%        98.9%
trace_0261          29        96.8%        96.8%
trace_0262          24        96.9%        96.9%
trace_0263         114        99.0%        99.0%
trace_0264         813        98.7%        98.7%
trace_0265         258        97.7%        98.0%
trace_0266          80        98.3%        98.3%
trace_0267         420        98.0%        98.0%
trace_0268           8        86.8%        86.8%
trace_0269          46        97.8%        97.8%
trace_0270         542        98.3%        98.3%
trace_0271         100        97.8%        97.8%
trace_0272         558        97.6%        97.6%
trace_0273         407        97.4%        97.4%
trace_0274          82        99.7%        99.7%
trace_0275          38        97.9%        97.9%
trace_0276         115        98.1%        98.1%
trace_0277         110        98.8%        98.8%
trace_0278         270        99.0%        99.0%
trace_0279         261        98.4%        98.4%
trace_0280          16        92.6%        92.6%
trace_0281          96        98.7%        98.7%
trace_0282         149        98.3%        98.3%
trace_0283         390        99.1%        99.1%
trace_0284         444        98.9%        98.9%
trace_0285          94        98.2%        98.2%
trace_0286         116        99.1%        99.1%
trace_0287          26        95.5%        95.5%
trace_0288         493        98.9%        99.0%
trace_0289         890        98.3%        98.3%
trace_0290         640        99.0%        99.0%
trace_0291          16        92.8%        92.8%
trace_0292         120        97.5%        98.1%
trace_0293           8        95.7%        95.7%
trace_0294         134        97.6%        97.6%
trace_0295          59        98.4%        98.4%
trace_0296          40        97.3%        97.3%
trace_0297          56        98.3%        98.3%
trace_0298         334        98.5%        98.5%
trace_0299         295        97.3%        97.3%
trace_0300         626        98.3%        98.3%
trace_0301          24        99.5%        99.5%
trace_0302         124        99.2%        99.2%
trace_0303           6        63.3%        89.5%
trace_0304          70        98.7%        98.7%
trace_0305          32        92.8%        92.8%
trace_0306          92        97.8%        97.8%
trace_0307          28        68.3%        91.3%
trace_0308           6        63.3%        88.9%
trace_0309          36        99.8%        99.8%
trace_0310          56        90.6%        98.0%
trace_0311           8        90.0%        90.0%
trace_0312           6        63.3%        89.7%
trace_0313         150        99.0%        99.0%
trace_0314          14        99.7%        99.7%
trace_0315           6        82.1%        82.1%
trace_0316          88        99.6%        99.6%
trace_0317          60        97.4%        97.4%
trace_0318          56        98.1%        98.1%
trace_0319          90        65.3%        95.6%
trace_0320          64        98.2%        98.2%
trace_0321         137        98.8%        98.8%
trace_0322          76        98.3%        98.3%
trace_0323          28        67.0%        91.2%
trace_0324         322        95.1%        98.0%
trace_0325          10        99.9%        99.9%
trace_0326           6        64.2%        89.7%
trace_0327          40        92.1%        93.2%
trace_0328           6        63.7%        89.2%
trace_0329         337        82.2%        97.5%
trace_0330          42        99.7%        99.7%
trace_0331          28        87.2%        87.2%
trace_0332         186        98.8%        98.8%
trace_0333          66        82.3%        96.3%
trace_0334         181        99.4%        99.4%
trace_0335          24        95.3%        95.3%
trace_0336         146        98.2%        98.2%
trace_0337           7        98.7%        98.7%
trace_0338           6        63.3%        89.7%
trace_0339         189        54.1%        93.5%
trace_0340         106        95.5%        97.2%
trace_0341         316        98.5%        98.5%
trace_0342          86        99.6%        99.6%
trace_0343           6        63.3%        89.5%
trace_0344         208        98.3%        98.3%
trace_0345         122        73.2%        96.0%
trace_0346          20        99.9%        99.9%
trace_0347          70        91.9%        94.3%
trace_0348          10        89.0%        89.0%
trace_0349         195        99.2%        99.2%
trace_0350         130        98.2%        98.2%
trace_0351          12        84.5%        84.5%
trace_0352          16        92.2%        92.2%
trace_0353         126        97.1%        97.1%
trace_0354           6        53.0%        89.6%
trace_0355           6        63.3%        89.7%
trace_0356          46        97.9%        97.9%
trace_0357         112        98.3%        98.3%
trace_0358          74        99.4%        99.4%
trace_0359          30        86.9%        93.4%
trace_0360           6        52.9%        89.7%
trace_0361           6        63.9%        89.5%
trace_0362           6        63.9%        89.5%
trace_0363          66        98.0%        98.0%
trace_0364         110        98.7%        98.7%
trace_0365         128        99.2%        99.2%
trace_0366           6        52.9%        89.7%
trace_0367          56        80.8%        95.1%
trace_0368         198        98.1%        98.1%
trace_0369         142        98.4%        98.4%
trace_0370          87        98.4%        98.4%
trace_0371          24        88.6%        88.7%
trace_0372           8        51.6%        62.0%
trace_0373          22        98.8%        98.8%
trace_0374          48        65.2%        89.8%
trace_0375          44        99.7%        99.7%
trace_0376           8        99.3%        99.3%
trace_0377           6        46.8%        77.8%
trace_0378          82        88.6%        97.4%
trace_0379           8        89.0%        89.0%
trace_0380          16        89.7%        89.7%
trace_0381           6        52.9%        89.7%
trace_0382          20        89.7%        93.4%
trace_0383           6        46.8%        77.8%
trace_0384          87        95.1%        95.1%
trace_0385          14        90.0%        90.0%
trace_0386          94        91.3%        97.5%
trace_0387          16        98.2%        98.2%
trace_0388         288        79.3%        98.4%
trace_0389          43        58.0%        92.0%
trace_0390          52        94.1%        94.1%
trace_0391         147        99.3%        99.3%
trace_0392          12        58.2%        58.2%
trace_0393           8        80.8%        80.8%
trace_0394          14        84.3%        84.3%
trace_0395          14        98.1%        98.1%
trace_0396         210        97.7%        98.2%
trace_0397         123        98.9%        98.9%
trace_0398          48        71.7%        91.4%
trace_0399          86        93.3%        94.8%
trace_0400         128        98.6%        98.6%
trace_0401         112        97.1%        97.1%
trace_0402           6        63.7%        89.2%
trace_0403           6        98.6%        98.6%
trace_0404          12        99.9%        99.9%
trace_0405         160        91.2%        95.7%
trace_0406           6        53.0%        89.6%
trace_0407          26        86.0%        86.0%
trace_0408           5        77.6%        77.6%
trace_0409          31        95.0%        95.0%
trace_0410         172        88.4%        96.4%
trace_0411          92        92.0%        97.5%
trace_0412           6        52.7%        89.6%
