period_number,context_size,cache_hit_rate,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,95,1766199307.860725,1766199338.455638,30.593659162521362,2,102,100,6400000,100,209193.67526458862,3.268651176009197,0.5528345441818238,0.5476232767105103,0.5816202878952026,0.5905327463150035,0.5528345441818238,0.5476232767105103,0.5816202878952026,0.5905327463150035,0,0,0,0,1783.9075229296247,0.5528345441818238,RAMP_UP,22
2,64000,95,1766199338.455653,1766199374.1857095,35.72878336906433,22,129,107,6848000,107,191666.19611036972,2.994784314224527,5.403626631353503,5.88853645324707,6.46219527721405,6.6201797914505,5.403626631353503,5.88853645324707,6.46219527721405,6.6201797914505,0,0,0,0,1141.3503767437608,5.403626631353503,RAMP_DOWN,20
3,64000,95,1766199374.185721,1766199409.1524608,34.96558427810669,20,127,107,6848000,107,195849.72313154791,3.0601519239304364,4.932459690860498,5.215711355209351,5.862679052352905,5.907022957801819,4.932459690860498,5.215711355209351,5.862679052352905,5.907022957801819,0,0,0,0,1050.7995223620385,4.932459690860498,RAMP_UP,22
4,64000,95,1766199409.1524699,1766199444.9169276,35.76327347755432,22,129,107,6848000,107,191481.3531903876,2.991896143599806,5.403476833183075,5.860801935195923,6.449673151969909,6.471596965789795,5.403476833183075,5.860801935195923,6.449673151969909,6.471596965789795,0,0,0,0,1105.1764292529429,5.403476833183075,RAMP_DOWN,20
5,64000,95,1766199444.9169383,1766199479.491508,34.57319736480713,20,124,104,6656000,104,192519.07568072656,3.0081105575113525,4.994003811707864,5.240100622177124,6.060857367515563,6.247752492427826,4.994003811707864,5.240100622177124,6.060857367515563,6.247752492427826,0,0,0,0,1122.603151327291,4.994003811707864,RAMP_UP,22
6,64000,95,1766199479.491522,1766199493.1348457,13.642172574996948,22,49,27,1728000,27,126666.04168070984,1.979156901261091,3.6842057440016003,3.7741992473602295,5.914195537567139,6.0008806800842285,3.6842057440016003,3.7741992473602295,5.914195537567139,6.0008806800842285,0,0,0,0,1159.8777259614085,3.6842057440016003,PLATEAU_RAMP_DOWN,16
