request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P1_c2_r0,SUSTAINED_P1,95,64000,60672,3328,1,0.543224573135376,0.543224573135376,0.0005528926849365234,0.5437827110290527,1766199307.91418,1766199308.4579628,2,0.0,1766199308.4574046,[1766199308.4574063],[1]
P1_c2_r1,SUSTAINED_P1,95,64000,60672,3328,1,0.7927165031433105,0.7927165031433105,0.0005395412445068359,0.7932600975036621,1766199307.9617321,1766199308.7549922,2,0.0,1766199308.7544487,[1766199308.7544496],[1]
P1_c2_r2,SUSTAINED_P1,95,64000,60672,3328,1,0.5500285625457764,0.5500285625457764,0.0005552768707275391,0.5505886077880859,1766199308.501237,1766199309.0518255,2,0.0,1766199309.0512655,[1766199309.051267],[1]
P1_c2_r3,SUSTAINED_P1,95,64000,60672,3328,1,0.5515756607055664,0.5515756607055664,0.0006263256072998047,0.5522067546844482,1766199308.7971156,1766199309.3493223,2,0.0,1766199309.3486912,[1766199309.3486924],[1]
P1_c2_r4,SUSTAINED_P1,95,64000,60672,3328,1,0.5483245849609375,0.5483245849609375,0.0005354881286621094,0.5488648414611816,1766199309.0946515,1766199309.6435163,2,0.0,1766199309.642976,[1766199309.6429772],[1]
P1_c2_r5,SUSTAINED_P1,95,64000,60672,3328,1,0.5454103946685791,0.5454103946685791,0.0005824565887451172,0.5459976196289062,1766199309.392176,1766199309.9381735,2,0.0,1766199309.9375863,[1766199309.937588],[1]
P1_c2_r6,SUSTAINED_P1,95,64000,60672,3328,1,0.5493719577789307,0.5493719577789307,0.0005624294281005859,0.5499398708343506,1766199309.685216,1766199310.2351558,2,0.0,1766199310.234588,[1766199310.2345886],[1]
P1_c2_r7,SUSTAINED_P1,95,64000,60672,3328,1,0.5498499870300293,0.5498499870300293,0.0005488395690917969,0.5504043102264404,1766199309.9816604,1766199310.5320647,2,0.0,1766199310.5315104,[1766199310.5315127],[1]
P1_c2_r8,SUSTAINED_P1,95,64000,60672,3328,1,0.5491943359375,0.5491943359375,0.0005445480346679688,0.54974365234375,1766199310.2779198,1766199310.8276634,2,0.0,1766199310.827114,[1766199310.8271153],[1]
P1_c2_r9,SUSTAINED_P1,95,64000,60672,3328,1,0.5479352474212646,0.5479352474212646,0.0005464553833007812,0.548485279083252,1766199310.5750515,1766199311.1235368,2,0.0,1766199311.1229868,[1766199311.1229875],[1]
P1_c2_r10,SUSTAINED_P1,95,64000,60672,3328,1,0.5395355224609375,0.5395355224609375,0.0005819797515869141,0.5401232242584229,1766199310.8801987,1766199311.420322,2,0.0,1766199311.4197342,[1766199311.4197357],[1]
P1_c2_r11,SUSTAINED_P1,95,64000,60672,3328,1,0.5688605308532715,0.5688605308532715,0.0005612373352050781,0.5694262981414795,1766199311.1655643,1766199311.7349906,2,0.0,1766199311.7344248,[1766199311.7344258],[1]
P1_c2_r12,SUSTAINED_P1,95,64000,60672,3328,1,0.570786714553833,0.570786714553833,0.0005614757537841797,0.5713522434234619,1766199311.4629853,1766199312.0343375,2,0.0,1766199312.033772,[1766199312.033773],[1]
P1_c2_r13,SUSTAINED_P1,95,64000,60672,3328,1,0.5536456108093262,0.5536456108093262,0.0005915164947509766,0.5542411804199219,1766199311.7773192,1766199312.3315604,2,0.0,1766199312.3309648,[1766199312.3309658],[1]
P1_c2_r14,SUSTAINED_P1,95,64000,60672,3328,1,0.5462050437927246,0.5462050437927246,0.0005724430084228516,0.5467820167541504,1766199312.0778134,1766199312.6245954,2,0.0,1766199312.6240184,[1766199312.6240199],[1]
P1_c2_r15,SUSTAINED_P1,95,64000,60672,3328,1,0.5423474311828613,0.5423474311828613,0.0005867481231689453,0.5429394245147705,1766199312.374459,1766199312.9173985,2,0.0,1766199312.9168065,[1766199312.9168077],[1]
P1_c2_r16,SUSTAINED_P1,95,64000,60672,3328,1,0.5441329479217529,0.5441329479217529,0.0005431175231933594,0.5446803569793701,1766199312.6665604,1766199313.2112408,2,0.0,1766199313.2106934,[1766199313.2106946],[1]
P1_c2_r17,SUSTAINED_P1,95,64000,60672,3328,1,0.5434808731079102,0.5434808731079102,0.0005509853363037109,0.5440361499786377,1766199312.9601748,1766199313.504211,2,0.0,1766199313.5036557,[1766199313.5036569],[1]
P1_c2_r18,SUSTAINED_P1,95,64000,60672,3328,1,0.5445311069488525,0.5445311069488525,0.0005230903625488281,0.5450596809387207,1766199313.252964,1766199313.7980237,2,0.0,1766199313.7974951,[1766199313.7974973],[1]
P1_c2_r19,SUSTAINED_P1,95,64000,60672,3328,1,0.551835298538208,0.551835298538208,0.0005500316619873047,0.5523903369903564,1766199313.547323,1766199314.0997133,2,0.0,1766199314.0991583,[1766199314.0991592],[1]
P1_c2_r20,SUSTAINED_P1,95,64000,60672,3328,1,0.5496137142181396,0.5496137142181396,0.0006489753723144531,0.5502676963806152,1766199313.8466637,1766199314.3969314,2,0.0,1766199314.3962774,[1766199314.3962789],[1]
