context_size,cache_hit_rate,model,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_output_tokens,avg_itl,median_itl,p95_itl,p99_itl,peak_concurrency,total_requests,test_duration
32000,95,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,251381.08674683605,7.855658960838627,2.948230179957348,3.166633645693461,3.6545002599557246,3.7515515391031897,2.948230179957348,3.166633645693461,3.6545002599557246,3.7515515391031897,733.4488309593804,0.0,0.0,0.0,0.0,46,1463,184.4998540878296
32000,97,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,330801.3218708735,10.337541308464797,2.473290725435571,2.628946840763092,2.9338244875272115,3.004291478395462,2.473290725435571,2.628946840763092,2.9338244875272115,3.004291478395462,557.6971453967013,0.0,0.0,0.0,0.0,52,1908,183.93843984603882
64000,95,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,184562.67750972172,2.883791836089402,4.161767875881393,4.421162148316701,5.221870112419128,5.306327605644862,4.161767875881393,4.421162148316701,5.221870112419128,5.306327605644862,1227.2857880961776,0.0,0.0,0.0,0.0,22,552,185.26667022705078
64000,97,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,247172.34069883407,3.8620678234192822,3.957067610970554,4.317643344402313,4.858476795752844,5.076716317733129,3.957067610970554,4.317643344402313,4.858476795752844,5.076716317733129,884.5953971259436,0.0,0.0,0.0,0.0,28,732,185.4505615234375
