request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P1_c2_r0,SUSTAINED_P1,97,32000,30976,1024,1,0.21761178970336914,0.21761178970336914,0.000457763671875,0.21807336807250977,1766199078.013928,1766199078.2320013,2,0.0,1766199078.2315397,[1766199078.2315407],[1]
P1_c2_r1,SUSTAINED_P1,97,32000,30976,1024,1,0.3075575828552246,0.3075575828552246,0.0006718635559082031,0.30823373794555664,1766199078.0393066,1766199078.3475404,2,0.0,1766199078.3468642,[1766199078.3468652],[1]
P1_c2_r2,SUSTAINED_P1,97,32000,30976,1024,1,0.2153329849243164,0.2153329849243164,0.0005085468292236328,0.21584510803222656,1766199078.2488608,1766199078.464706,2,0.0,1766199078.4641938,[1766199078.4641948],[1]
P1_c2_r3,SUSTAINED_P1,97,32000,30976,1024,1,0.20915460586547852,0.20915460586547852,0.00044083595275878906,0.20960021018981934,1766199078.3685875,1766199078.5781877,2,0.0,1766199078.577742,[1766199078.5777438],[1]
P1_c2_r4,SUSTAINED_P1,97,32000,30976,1024,1,0.2093055248260498,0.2093055248260498,0.0004336833953857422,0.20974302291870117,1766199078.4816306,1766199078.6913736,2,0.0,1766199078.690936,[1766199078.690937],[1]
P1_c2_r5,SUSTAINED_P1,97,32000,30976,1024,1,0.20683789253234863,0.20683789253234863,0.00043463706970214844,0.2072761058807373,1766199078.5945725,1766199078.8018486,2,0.0,1766199078.8014104,[1766199078.8014114],[1]
P1_c2_r6,SUSTAINED_P1,97,32000,30976,1024,1,0.20989179611206055,0.20989179611206055,0.0005738735198974609,0.21047043800354004,1766199078.7075622,1766199078.9180326,2,0.0,1766199078.917454,[1766199078.9174554],[1]
P1_c2_r7,SUSTAINED_P1,97,32000,30976,1024,1,0.21274948120117188,0.21274948120117188,0.0004425048828125,0.21319580078125,1766199078.8184292,1766199079.031625,2,0.0,1766199079.0311787,[1766199079.0311794],[1]
P1_c2_r8,SUSTAINED_P1,97,32000,30976,1024,1,0.20141315460205078,0.20141315460205078,0.0004324913024902344,0.20184993743896484,1766199078.937257,1766199079.139107,2,0.0,1766199079.1386702,[1766199079.1386714],[1]
P1_c2_r9,SUSTAINED_P1,97,32000,30976,1024,1,0.20152974128723145,0.20152974128723145,0.0004367828369140625,0.20197033882141113,1766199079.0479188,1766199079.2498891,2,0.0,1766199079.2494485,[1766199079.2494497],[1]
P1_c2_r10,SUSTAINED_P1,97,32000,30976,1024,1,0.21316051483154297,0.21316051483154297,0.0005550384521484375,0.21371936798095703,1766199079.1553147,1766199079.369034,2,0.0,1766199079.3684752,[1766199079.368476],[1]
P1_c2_r11,SUSTAINED_P1,97,32000,30976,1024,1,0.21731352806091309,0.21731352806091309,0.00044226646423339844,0.2177596092224121,1766199079.2659285,1766199079.483688,2,0.0,1766199079.483242,[1766199079.4832428],[1]
P1_c2_r12,SUSTAINED_P1,97,32000,30976,1024,1,0.20242977142333984,0.20242977142333984,0.0004286766052246094,0.20286202430725098,1766199079.388039,1766199079.5909011,2,0.0,1766199079.590469,[1766199079.59047],[1]
P1_c2_r13,SUSTAINED_P1,97,32000,30976,1024,1,0.19618558883666992,0.19618558883666992,0.0004329681396484375,0.19662213325500488,1766199079.5001469,1766199079.696769,2,0.0,1766199079.6963325,[1766199079.6963334],[1]
P1_c2_r14,SUSTAINED_P1,97,32000,30976,1024,1,0.19890642166137695,0.19890642166137695,0.0004303455352783203,0.1993405818939209,1766199079.6070392,1766199079.8063798,2,0.0,1766199079.8059456,[1766199079.8059466],[1]
P1_c2_r15,SUSTAINED_P1,97,32000,30976,1024,1,0.20888948440551758,0.20888948440551758,0.0005559921264648438,0.20944952964782715,1766199079.7128258,1766199079.9222753,2,0.0,1766199079.9217153,[1766199079.9217165],[1]
P1_c2_r16,SUSTAINED_P1,97,32000,30976,1024,1,0.20748496055603027,0.20748496055603027,0.0004508495330810547,0.20793938636779785,1766199079.822323,1766199080.0302625,2,0.0,1766199080.029808,[1766199080.0298092],[1]
P1_c2_r17,SUSTAINED_P1,97,32000,30976,1024,1,0.20118141174316406,0.20118141174316406,0.0004324913024902344,0.20161795616149902,1766199079.9414876,1766199080.1431055,2,0.0,1766199080.142669,[1766199080.1426702],[1]
P1_c2_r18,SUSTAINED_P1,97,32000,30976,1024,1,0.2258896827697754,0.2258896827697754,0.00048804283142089844,0.22638154029846191,1766199080.046805,1766199080.2731864,2,0.0,1766199080.2726946,[1766199080.2726955],[1]
P1_c2_r19,SUSTAINED_P1,97,32000,30976,1024,1,0.22539544105529785,0.22539544105529785,0.0005712509155273438,0.22597026824951172,1766199080.159158,1766199080.3851283,2,0.0,1766199080.3845534,[1766199080.3845541],[1]
P1_c2_r20,SUSTAINED_P1,97,32000,30976,1024,1,0.21154999732971191,0.21154999732971191,0.0004401206970214844,0.21199369430541992,1766199080.2908301,1766199080.5028238,2,0.0,1766199080.5023801,[1766199080.502381],[1]
P1_c2_r21,SUSTAINED_P1,97,32000,30976,1024,1,0.20555758476257324,0.20555758476257324,0.00043082237243652344,0.2059926986694336,1766199080.4042647,1766199080.6102574,2,0.0,1766199080.6098223,[1766199080.6098235],[1]
P1_c2_r22,SUSTAINED_P1,97,32000,30976,1024,1,0.1968677043914795,0.1968677043914795,0.0004317760467529297,0.19730377197265625,1766199080.5191681,1766199080.716472,2,0.0,1766199080.7160358,[1766199080.716037],[1]
P1_c2_r23,SUSTAINED_P1,97,32000,30976,1024,1,0.21175885200500488,0.21175885200500488,0.0006535053253173828,0.2124176025390625,1766199080.626437,1766199080.8388546,2,0.0,1766199080.8381958,[1766199080.838197],[1]
P1_c2_r24,SUSTAINED_P1,97,32000,30976,1024,1,0.2233574390411377,0.2233574390411377,0.0008497238159179688,0.2242116928100586,1766199080.7326934,1766199080.9569051,2,0.0,1766199080.9560509,[1766199080.9560523],[1]
P1_c2_r25,SUSTAINED_P1,97,32000,30976,1024,1,0.20885372161865234,0.20885372161865234,0.00048065185546875,0.20933866500854492,1766199080.8599622,1766199081.069301,2,0.0,1766199081.068816,[1766199081.0688174],[1]
P1_c2_r26,SUSTAINED_P1,97,32000,30976,1024,1,0.20639872550964355,0.20639872550964355,0.0004475116729736328,0.2068500518798828,1766199080.973817,1766199081.1806672,2,0.0,1766199081.1802158,[1766199081.1802168],[1]
P1_c2_r27,SUSTAINED_P1,97,32000,30976,1024,1,0.20186328887939453,0.20186328887939453,0.00043272972106933594,0.2022995948791504,1766199081.086105,1766199081.2884047,2,0.0,1766199081.2879684,[1766199081.287969],[1]
P1_c2_r28,SUSTAINED_P1,97,32000,30976,1024,1,0.2074141502380371,0.2074141502380371,0.0005421638488769531,0.2079601287841797,1766199081.1967294,1766199081.4046896,2,0.0,1766199081.4041436,[1766199081.4041445],[1]
P1_c2_r29,SUSTAINED_P1,97,32000,30976,1024,1,0.2117619514465332,0.2117619514465332,0.00046539306640625,0.21223139762878418,1766199081.3047628,1766199081.5169942,2,0.0,1766199081.5165248,[1766199081.5165257],[1]
P1_c2_r30,SUSTAINED_P1,97,32000,30976,1024,1,0.19906234741210938,0.19906234741210938,0.00043845176696777344,0.19950485229492188,1766199081.423652,1766199081.6231568,2,0.0,1766199081.6227143,[1766199081.6227155],[1]
