request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,5000000,96,100000,96000,4000,1,3.217975616455078,3.2179760932922363,0.0004029273986816406,3.2183895111083984,1773205810.691185,1773205813.9095745,1,0.0
P1_c1_r1,SUSTAINED_P1,5000000,96,100000,96000,4000,1,3.240548610687256,3.240548849105835,0.00033092498779296875,3.2408854961395264,1773205813.9671805,1773205817.208066,1,0.0
P1_c1_r2,SUSTAINED_P1,5000000,96,100000,96000,4000,1,3.2216475009918213,3.2216477394104004,0.0003445148468017578,3.221996545791626,1773205817.2654521,1773205820.4874487,1,0.0
P1_c1_r3,SUSTAINED_P1,5000000,96,100000,96000,4000,1,3.2304837703704834,3.2304840087890625,0.00036525726318359375,3.230853319168091,1773205820.5439808,1773205823.7748342,1,0.0
P1_c1_r4,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6204235553741455,0.6204235553741455,0.0003361701965332031,0.6207678318023682,1773205823.8367264,1773205824.4574943,1,0.0
P1_c1_r5,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6117813587188721,0.6117815971374512,0.0003528594970703125,0.6121387481689453,1773205824.5165117,1773205825.1286504,1,0.0
P1_c1_r6,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6140952110290527,0.6140954494476318,0.00034737586975097656,0.6144473552703857,1773205825.1863775,1773205825.8008249,1,0.0
P1_c1_r7,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6094799041748047,0.6094801425933838,0.0003440380096435547,0.6098291873931885,1773205825.872719,1773205826.4825482,1,0.0
P1_c1_r8,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5989959239959717,0.5989959239959717,0.00036334991455078125,0.5993645191192627,1773205826.5435128,1773205827.1428773,1,0.0
P1_c1_r9,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6105446815490723,0.6105449199676514,0.000335693359375,0.6108851432800293,1773205827.2035656,1773205827.8144507,1,0.0
P1_c1_r10,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6077485084533691,0.6077487468719482,0.0003235340118408203,0.6080760955810547,1773205827.8704302,1773205828.4785063,1,0.0
P1_c1_r11,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5827960968017578,0.5827963352203369,0.0003781318664550781,0.5831818580627441,1773205828.5420594,1773205829.1252413,1,0.0
P1_c1_r12,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5989329814910889,0.598933219909668,0.00035309791564941406,0.599290132522583,1773205829.1836042,1773205829.7828944,1,0.0
P1_c1_r13,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6197323799133301,0.6197326183319092,0.0003409385681152344,0.6200776100158691,1773205829.8400993,1773205830.460177,1,0.0
P1_c1_r14,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5825035572052002,0.5825035572052002,0.0003483295440673828,0.5828564167022705,1773205830.5181994,1773205831.1010559,1,0.0
P1_c1_r15,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5981948375701904,0.5981948375701904,0.00036454200744628906,0.598564624786377,1773205831.15935,1773205831.7579145,1,0.0
P1_c1_r16,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6438498497009277,0.6438500881195068,0.0003571510314941406,0.6442115306854248,1773205831.8153276,1773205832.4595392,1,0.0
P1_c1_r17,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6119289398193359,0.611929178237915,0.0003490447998046875,0.6122822761535645,1773205832.525057,1773205833.1373394,1,0.0
P1_c1_r18,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.5618264675140381,0.5618267059326172,0.00035119056701660156,0.5621821880340576,1773205833.1940272,1773205833.7562094,1,0.0
P1_c1_r19,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6011700630187988,0.6011700630187988,0.0003552436828613281,0.6015298366546631,1773205833.8123798,1773205834.4139097,1,0.0
