period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,100000,96,400384,1773205829.6511025,1773205860.3949795,30.742175817489624,1,42,41,4100000,41,133367.2679624536,1.3336726796245362,0.667655142342172,0.6593179702758789,0.7366244792938232,0.7654763221740724,0.667655357500402,0.659318208694458,0.7366247177124023,0.7654765605926515,0,0,0,0,2665.4223306259382,0.667655142342172,RAMP_UP,21
2,100000,96,400384,1773205860.395007,1773205897.3577678,36.961310386657715,21,91,70,7000000,70,189387.22482433572,1.8938722482433572,7.320525813102722,7.573118329048157,9.602287304401397,10.129266405105591,7.3205260106495444,7.573118448257446,9.602287542819976,10.12926671743393,0,0,0,0,1812.8533462667754,7.320525813102722,RAMP_DOWN,19
3,100000,96,700672,1773205897.3577895,1773205934.0378182,36.67871117591858,19,91,72,7200000,72,196299.1547185868,1.962991547185868,6.6951331198215485,7.388230085372925,8.746805155277253,8.85452755689621,6.6951333151923285,7.388230204582214,8.746805393695832,8.854527626037598,0,0,0,0,1828.521908318094,6.6951331198215485,RAMP_DOWN,17
4,100000,96,700672,1773205934.0378354,1773205970.668,36.62878465652466,17,87,70,7000000,70,191106.53180662097,1.9110653180662098,6.2351386921746395,6.577641725540161,7.952948379516601,8.590985081195832,6.235138889721462,6.57764196395874,7.9529486179351805,8.590985245704651,0,0,0,0,1902.4868747563871,6.2351386921746395,RAMP_DOWN,15
5,100000,96,700672,1773205970.6680176,1773206006.4698977,35.800400495529175,15,83,68,6800000,68,189942.00919202558,1.899420091920256,5.664577705018661,5.719478487968445,7.428616714477539,8.051360352039337,5.664577866301817,5.719478607177734,7.428616714477539,8.051360430717468,0,0,0,0,1878.2029333469732,5.664577705018661,RAMP_DOWN,13
6,100000,96,1000960,1773206006.4699152,1773206040.6432068,34.17213273048401,13,83,70,7000000,70,204845.27715050968,2.048452771505097,5.016874422345842,5.126707911491394,6.376189410686493,6.8622261857986455,5.016874619892666,5.126708149909973,6.376189649105072,6.8622263503074645,0,0,0,0,1903.1165364772178,5.016874422345842,RAMP_DOWN,11
7,100000,96,1000960,1773206040.6432228,1773206074.8785312,34.233943700790405,11,80,69,6900000,69,201554.34209704242,2.0155434209704244,4.125652741694796,4.185305833816528,4.996233177185058,5.2837619876861535,4.125652928283249,4.1853063106536865,4.996233415603637,5.283762149810787,0,0,0,0,1795.4411398737452,4.125652741694796,RAMP_UP,15
8,100000,96,1301248,1773206074.8785462,1773206110.5009708,35.62100791931152,15,93,78,7800000,78,218971.90606364957,2.1897190606364956,5.053070704142253,5.491581320762634,6.339669311046601,6.490685687065125,5.053070890597808,5.491581439971924,6.33966954946518,6.490685980319977,0,0,0,0,1817.5235305676295,5.053070704142253,RAMP_DOWN,13
9,100000,96,1301248,1773206110.5009885,1773206145.5551944,35.05283236503601,13,85,72,7200000,72,205404.2288229396,2.054042288229396,4.724037326044506,4.959169387817383,6.358399391174316,6.471230955123903,4.724037524726656,4.959169507026672,6.358399498462677,6.47123126268387,0,0,0,0,1915.5659287534638,4.724037326044506,RAMP_UP,15
10,100000,96,1601536,1773206145.5552106,1773206180.924666,35.368064880371094,15,85,70,7000000,70,197918.65977617924,1.9791865977617924,5.47680538722447,5.565750241279602,7.083388531208038,7.158775205612183,5.476805567741394,5.565750479698181,7.0833886623382565,7.158775444030762,0,0,0,0,1958.5290319494725,5.47680538722447,RAMP_DOWN,13
