context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64014,256,2.8408336639404297,2.090418815612793,4.931259632110596,122.46349778714331
64000,0,cached,64014,256,0.2698850631713867,2.0862205028533936,2.3561110496520996,122.70994348385526
64000,1,unique,64014,256,2.4728097915649414,2.0844874382019043,4.557303190231323,122.81196581392098
64000,1,cached,64014,256,0.28637027740478516,2.0858097076416016,2.3721842765808105,122.73411091247434
64000,2,unique,64014,256,2.461726188659668,2.087989330291748,4.549721002578735,122.60599050294473
64000,2,cached,64014,256,0.27738165855407715,2.083784341812134,2.3611700534820557,122.8534041950681
128000,0,unique,128014,256,5.486403703689575,2.389512777328491,7.875924348831177,107.13481109157809
128000,0,cached,128014,256,0.579352617263794,2.3859965801239014,2.965352773666382,107.2926935992114
128000,1,unique,128014,256,5.476235628128052,2.3872272968292236,7.863468408584595,107.23737967474892
128000,1,cached,128014,256,0.5728323459625244,2.382553815841675,2.955389976501465,107.44773037143925
128000,2,unique,128014,256,5.500541925430298,2.3826916217803955,7.883244276046753,107.441515998076
128000,2,cached,128014,256,0.5566813945770264,2.385845184326172,2.9425301551818848,107.29950194664514
