context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64013,256,2.775242805480957,2.0846643447875977,4.859912872314453,122.80154387448083
64000,0,cached,64013,256,0.2871439456939697,2.0847771167755127,2.3719265460968018,122.79490116236052
64000,1,unique,64014,256,2.4591891765594482,2.0938942432403564,4.5530877113342285,122.26023392844964
64000,1,cached,64014,256,0.27830982208251953,2.087338447570801,2.3656513690948486,122.64422202251257
64000,2,unique,64013,256,2.4733316898345947,2.092958450317383,4.5662946701049805,122.3148983015785
64000,2,cached,64013,256,0.28313422203063965,2.088956356048584,2.3720943927764893,122.54923338094196
128000,0,unique,128014,256,5.482285261154175,2.392453908920288,7.874743700027466,107.00310632756663
128000,0,cached,128014,256,0.5641987323760986,2.3858280181884766,2.950031042098999,107.30027397128858
128000,1,unique,128014,256,5.517873525619507,2.387209177017212,7.905088663101196,107.2381936466367
128000,1,cached,128014,256,0.5808331966400146,2.3883056640625,2.9691426753997803,107.18895987733197
128000,2,unique,128013,256,5.462531805038452,2.395477056503296,7.858013391494751,106.86806592657832
128000,2,cached,128013,256,0.577164888381958,2.3879740238189697,2.9651427268981934,107.2038462087589
