context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64014,256,2.8407223224639893,4.636533975601196,7.477262496948242,55.21365773380443
64000,0,unique,64014,256,4.7967283725738525,2.4495177268981934,7.246250629425049,104.51036838348215
64000,0,cached,64014,256,0.30568957328796387,2.5570876598358154,2.862781286239624,100.11389285592077
64000,0,cached,64014,256,0.3959639072418213,2.474740505218506,2.8707077503204346,103.44518928759224
64000,1,unique,64014,256,2.5291314125061035,4.6539390087127686,7.183074951171875,55.00716694411665
64000,1,unique,64014,256,4.796609878540039,2.4505207538604736,7.24713397026062,104.46759106067786
64000,1,cached,64014,256,0.29688119888305664,2.518415927886963,2.815300703048706,101.65119953588952
64000,1,cached,64014,256,0.5046191215515137,2.433570384979248,2.9381942749023438,105.19523149201333
64000,2,unique,64014,256,4.782120704650879,2.440795421600342,7.222919940948486,104.88384144548665
64000,2,unique,64014,256,2.499239921569824,4.651059627532959,7.150303840637207,55.041220818703835
64000,2,cached,64014,256,0.41758036613464355,2.4602773189544678,2.877861499786377,104.05331058727603
64000,2,cached,64014,256,0.319490909576416,2.542921304702759,2.8624155521392822,100.6716171383541
128000,0,unique,128013,256,5.695173263549805,7.829684495925903,13.524873733520508,32.69608119371949
128000,0,unique,128014,256,10.620035648345947,2.980379343032837,13.600419044494629,85.89510613756104
128000,0,cached,128013,256,0.6177146434783936,3.117316246032715,3.735034465789795,82.12192148480318
128000,0,cached,128014,256,0.9993531703948975,2.9502179622650146,3.9495747089385986,86.77324973082915
128000,1,unique,128014,256,5.72713828086853,7.834892272949219,13.562034606933594,32.6743484251681
128000,1,unique,128014,235,10.676843881607056,2.7527353763580322,13.429583072662354,85.36962979380657
128000,1,cached,128014,256,0.620988130569458,3.138556718826294,3.7595486640930176,81.56615378795343
128000,1,cached,128014,256,0.9861917495727539,2.9595117568969727,3.945706844329834,86.50075452594729
128000,2,unique,128014,256,10.626460552215576,2.98077392578125,13.607242822647095,85.88373569220059
128000,2,unique,128014,256,5.668907165527344,7.852287292480469,13.521198987960815,32.601965575705755
128000,2,cached,128014,256,0.632251501083374,3.1566884517669678,3.7889437675476074,81.09764517835235
128000,2,cached,128014,256,0.8054871559143066,2.99442982673645,3.7999203205108643,85.49206854481797
