context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64014,256,2.8487908840179443,2.084791421890259,4.933589458465576,122.79405858639204
64000,0,cached,64014,256,0.2822089195251465,2.0834338665008545,2.3656487464904785,122.87407059862872
64000,1,unique,64014,256,2.471261978149414,2.089327812194824,4.5605950355529785,122.52744567214361
64000,1,cached,64014,256,0.277144193649292,2.0825116634368896,2.359659433364868,122.92848318434307
64000,2,unique,64013,256,2.4691712856292725,2.0872883796691895,4.5564656257629395,122.64716389623794
64000,2,cached,64013,256,0.28742384910583496,2.100410223007202,2.387838125228882,121.88095315660735
128000,0,unique,128014,256,5.495121240615845,2.3916494846343994,7.886778116226196,107.03909650838051
128000,0,cached,128014,256,0.5668888092041016,2.3847765922546387,2.951669454574585,107.34758166926235
128000,1,unique,128014,256,5.463849306106567,2.3937811851501465,7.857634544372559,106.9437764771899
128000,1,cached,128014,256,0.5654881000518799,2.384333372116089,2.9498255252838135,107.36753634949997
128000,2,unique,128014,256,5.492319583892822,2.387850046157837,7.880178451538086,107.20941225430636
128000,2,cached,128014,256,0.5576913356781006,2.390981674194336,2.9486770629882812,107.06899294251664
