context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64014,256,2.788086175918579,2.0850555896759033,4.873147249221802,122.77850109492385
64000,0,cached,64014,256,0.2864878177642822,2.085585355758667,2.3720779418945312,122.7473137424652
64000,1,unique,64013,256,2.468059778213501,2.086089611053467,4.554153919219971,122.71764292556973
64000,1,cached,64013,256,0.27329373359680176,2.0878801345825195,2.361177444458008,122.6124027714782
64000,2,unique,64014,256,2.4619688987731934,2.087019920349121,4.54899263381958,122.66294035045712
64000,2,cached,64014,256,0.27698779106140137,2.086230754852295,2.363222122192383,122.70934047184286
128000,0,unique,128014,256,5.4391374588012695,2.390509605407715,7.829651832580566,107.09013652188933
128000,0,cached,128014,256,0.5699467658996582,2.3854432106018066,2.9553935527801514,107.31758310666955
128000,1,unique,128014,111,5.520753860473633,1.0301201343536377,6.550879716873169,107.75442232244922
128000,1,cached,128014,256,0.558382511138916,2.384157180786133,2.9425435066223145,107.37547090565087
128000,2,unique,128014,256,5.527912139892578,2.3918111324310303,7.919727802276611,107.03186239450366
128000,2,cached,128014,256,0.5805346965789795,2.3861083984375,2.966647148132324,107.28766562643884
